difficulty_bin,judge_model,judge_score_mean,n_items
5,qwen_qwen3_5_9b,0.6,15
6,claude_haiku_4_5_20251001,0.6666666666666666,15
6,claude_sonnet_4_6,0.8214285714285714,14
6,mistralai_ministral_3_14b_instruct_2512_bf16,0.6,15
6,mistralai_ministral_3_3b_instruct_2512_bf16,0.5666666666666667,15
6,mistralai_ministral_3_8b_instruct_2512_bf16,0.6333333333333333,15
6,qwen_qwen3_5_0_8b,0.5666666666666667,15
6,qwen_qwen3_5_27b,0.6,15
6,qwen_qwen3_5_2b,0.5333333333333333,15
6,qwen_qwen3_5_4b,0.5333333333333333,15
6,qwen_qwen3_5_9b,0.5333333333333333,15
7,claude_haiku_4_5_20251001,0.625,16
7,claude_sonnet_4_6,0.78125,16
7,mistralai_ministral_3_14b_instruct_2512_bf16,0.6875,16
7,mistralai_ministral_3_3b_instruct_2512_bf16,0.6875,16
7,mistralai_ministral_3_8b_instruct_2512_bf16,0.625,16
7,qwen_qwen3_5_0_8b,0.53125,16
7,qwen_qwen3_5_27b,0.78125,16
7,qwen_qwen3_5_2b,0.5,16
7,qwen_qwen3_5_4b,0.65625,16
7,qwen_qwen3_5_9b,0.6875,16
8,claude_haiku_4_5_20251001,0.6333333333333333,15
8,claude_sonnet_4_6,0.6666666666666666,15
8,mistralai_ministral_3_14b_instruct_2512_bf16,0.6333333333333333,15
8,mistralai_ministral_3_3b_instruct_2512_bf16,0.6,15
8,mistralai_ministral_3_8b_instruct_2512_bf16,0.5333333333333333,15
8,qwen_qwen3_5_0_8b,0.5333333333333333,15
8,qwen_qwen3_5_27b,0.7333333333333333,15
8,qwen_qwen3_5_2b,0.4666666666666667,15
8,qwen_qwen3_5_4b,0.6,15
8,qwen_qwen3_5_9b,0.6333333333333333,15
9,claude_haiku_4_5_20251001,0.6333333333333333,15
9,claude_sonnet_4_6,0.6785714285714286,14
9,mistralai_ministral_3_14b_instruct_2512_bf16,0.7,15
9,mistralai_ministral_3_3b_instruct_2512_bf16,0.5,15
9,mistralai_ministral_3_8b_instruct_2512_bf16,0.6666666666666666,15
9,qwen_qwen3_5_0_8b,0.5333333333333333,15
9,qwen_qwen3_5_27b,0.6333333333333333,15
9,qwen_qwen3_5_2b,0.5,15
9,qwen_qwen3_5_4b,0.6333333333333333,15
9,qwen_qwen3_5_9b,0.7,15
10,claude_haiku_4_5_20251001,0.625,16
10,claude_sonnet_4_6,0.8125,16
10,mistralai_ministral_3_14b_instruct_2512_bf16,0.65625,16
10,mistralai_ministral_3_3b_instruct_2512_bf16,0.71875,16
10,mistralai_ministral_3_8b_instruct_2512_bf16,0.59375,16
10,qwen_qwen3_5_0_8b,0.59375,16
10,qwen_qwen3_5_27b,0.75,16
10,qwen_qwen3_5_2b,0.5625,16
10,qwen_qwen3_5_4b,0.6875,16
10,qwen_qwen3_5_9b,0.65625,16
