item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,dominant_factor,item_id_meta,selected_order,difficulty_meta,platform,question_content,starter_code,prompt,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
3031,5.1639595,5.0754786,-5.1639595,-4.850437,factor_1,3031,57,medium,leetcode,,,,13.75823,13.739753,-21.854439,32.005394
3464,5.1498575,5.0613766,-5.1498575,-1.6763886,factor_1,3464,163,medium,leetcode,,,,10.632292,10.618998,-15.75186,25.874613
3104,5.0668797,4.978399,-5.0668797,-3.8062727,factor_1,3104,66,medium,leetcode,,,,12.699117,12.682364,-19.879036,29.835835
2916,5.03178,4.943299,-5.03178,-2.1403553,factor_1,2916,43,medium,leetcode,,,,10.879972,10.866256,-16.354563,26.24116
3760,5.0236325,4.9351516,-5.0236325,-1.112172,factor_1,3760,272,medium,leetcode,,,,8.6228695,8.61312,-11.946564,21.816868
3526,5.0228906,4.9344096,-5.0228906,-2.1766741,factor_1,3526,182,medium,leetcode,,,,10.889115,10.875383,-16.381342,26.250162
abc342_e,5.0179176,4.9294367,-5.0179176,-2.6094143,factor_1,abc342_e,420,hard,atcoder,,,,11.445311,11.430639,-17.474617,27.333488
3522,5.0131354,4.9246545,-5.0131354,-4.7078967,factor_1,3522,181,medium,leetcode,,,,12.72668,12.709883,-19.986717,29.836025
arc186_d,4.987306,4.898825,-4.987306,-3.0144157,factor_1,arc186_d,654,hard,atcoder,,,,11.6783285,11.663267,-17.96118,27.75883
3701,4.985395,4.896914,-4.985395,-4.964814,factor_1,3701,253,hard,leetcode,,,,12.627284,12.61065,-19.819962,29.613789
3000,4.9788246,4.8903437,-4.9788246,-1.5843518,factor_1,3000,51,medium,leetcode,,,,9.575503,9.564043,-13.855182,23.635868
3498,4.969603,4.881122,-4.969603,-2.3725646,factor_1,3498,175,medium,leetcode,,,,10.88353,10.869807,-16.4237,26.185946
3153,4.957962,4.869481,-4.957962,-3.323453,factor_1,3153,71,hard,leetcode,,,,11.748141,11.732964,-18.127129,27.866089
2848,4.9488664,4.8603854,-4.9488664,-2.3257172,factor_1,2848,27,medium,leetcode,,,,10.709808,10.6963825,-16.104525,25.825296
3414,4.9448013,4.8563204,-4.9448013,-3.5797522,factor_1,3414,145,hard,leetcode,,,,11.833735,11.818415,-18.307774,28.020412
abc311_d,4.9414926,4.8530116,-4.9414926,-1.6301224,factor_1,abc311_d,330,medium,atcoder,,,,9.495179,9.483861,-13.735355,23.44138
arc184_e,4.939056,4.850575,-4.939056,-4.126848,factor_1,arc184_e,648,hard,atcoder,,,,12.066518,12.05081,-18.769012,28.470161
3720,4.9158473,4.8273664,-4.9158473,-4.9278164,factor_1,3720,259,medium,leetcode,,,,12.191252,12.175337,-19.036295,28.691027
3403,4.888828,4.800347,-4.888828,-2.383742,factor_1,3403,141,medium,leetcode,,,,10.4716015,10.458583,-15.698477,25.29917
3360,4.8857617,4.797281,-4.8857617,-3.104718,factor_1,3360,124,medium,leetcode,,,,11.17909,11.164866,-17.085857,26.68042
3362,4.8809867,4.7925057,-4.8809867,-2.5234346,factor_1,3362,126,hard,leetcode,,,,10.599823,10.586584,-15.957199,25.54221
3805,4.8617,4.773219,-4.8617,-3.2508576,factor_1,3805,292,medium,leetcode,,,,11.153659,11.139479,-17.060158,26.606598
3261,4.835228,4.746747,-4.835228,-3.7689316,factor_1,3261,100,hard,leetcode,,,,11.308337,11.293897,-17.38929,26.882786
3563,4.8286705,4.7401896,-4.8286705,-1.3150572,factor_1,3563,199,hard,leetcode,,,,8.314678,8.305497,-11.538585,21.018963
3493,4.8168755,4.7283945,-4.8168755,-3.816369,factor_1,3493,171,medium,leetcode,,,,11.228926,11.214619,-17.252258,26.70905
3229,4.815956,4.727475,-4.815956,-3.8253448,factor_1,3229,91,medium,leetcode,,,,11.228008,11.213702,-17.25138,26.706333
3395,4.811469,4.722988,-4.811469,-5.102459,factor_1,3395,138,medium,leetcode,,,,11.621997,11.607029,-18.026789,27.472765
abc321_e,4.794521,4.70604,-4.794521,-1.4928973,factor_1,abc321_e,356,hard,atcoder,,,,8.557192,8.547563,-12.047184,21.459263
1883_C,4.7843833,4.6959023,-4.7843833,-4.9344525,factor_1,1883_C,3,medium,codeforces,,,,11.427638,11.412996,-17.67357,27.065374
2920,4.7783895,4.6899085,-4.7783895,-2.369865,factor_1,2920,45,medium,leetcode,,,,9.898881,9.886854,-14.688326,24.068144
3725,4.7697616,4.6812806,-4.7697616,-4.9323773,factor_1,3725,262,hard,leetcode,,,,11.345109,11.3306055,-17.526707,26.889267
3193,4.75491,4.666429,-4.75491,-3.4963758,factor_1,3193,78,easy,leetcode,,,,10.730292,10.716831,-16.33856,25.67142
2845,4.736446,4.647965,-4.736446,-3.5793269,factor_1,2845,26,medium,leetcode,,,,10.677729,10.664357,-16.254175,25.550104
3571,4.722568,4.634087,-4.722568,-2.2663083,factor_1,3571,201,hard,leetcode,,,,9.503332,9.492001,-13.970236,23.238409
3733,4.711483,4.623002,-4.711483,-2.3827353,factor_1,3733,263,hard,leetcode,,,,9.592483,9.580993,-14.155744,23.401749
3649,4.70348,4.614999,-4.70348,-4.127864,factor_1,3649,231,medium,leetcode,,,,10.743843,10.730358,-16.416504,25.6465
abc364_e,4.7031584,4.6146774,-4.7031584,-1.7598774,factor_1,abc364_e,486,hard,atcoder,,,,8.66811,8.6582775,-12.355547,21.584902
3573,4.701547,4.613066,-4.701547,-2.1961062,factor_1,3573,202,medium,leetcode,,,,9.315453,9.304454,-13.623665,22.849796
3428,4.6886454,4.6001644,-4.6886454,-5.2077537,factor_1,3428,149,easy,leetcode,,,,10.962663,10.948806,-16.859495,26.059824
2857,4.637081,4.5486,-4.637081,-4.2391844,factor_1,2857,31,easy,leetcode,,,,10.436649,10.423691,-15.881835,24.979034
3446,4.633096,4.5446153,-4.633096,-1.6745605,factor_1,3446,155,easy,leetcode,,,,8.229805,8.220781,-11.568117,20.657347
abc386_d,4.6163745,4.5278935,-4.6163745,-1.1959305,factor_1,abc386_d,584,hard,atcoder,,,,7.234327,7.227211,-9.63744,18.693228
3587,4.6133194,4.5248384,-4.6133194,-2.711835,factor_1,3587,207,medium,leetcode,,,,9.467765,9.456495,-14.009892,23.05957
3252,4.6066947,4.5182137,-4.6066947,-4.7548614,factor_1,3252,99,easy,leetcode,,,,10.428376,10.415432,-15.896034,24.93246
3363,4.6017375,4.5132565,-4.6017375,-1.3646634,factor_1,3363,127,medium,leetcode,,,,7.5322943,7.5245953,-10.234951,19.261463
2839,4.5938683,4.5053873,-4.5938683,-2.800773,factor_1,2839,25,hard,leetcode,,,,9.453708,9.442463,-14.00184,23.012615
3192,4.5910425,4.5025616,-4.5910425,-3.7478888,factor_1,3192,77,medium,leetcode,,,,10.018365,10.00613,-15.109453,24.114576
2891,4.5879517,4.4994707,-4.5879517,-3.5719357,factor_1,2891,41,medium,leetcode,,,,9.92187,9.909802,-14.923743,23.922684
arc193_d,4.5612354,4.4727545,-4.5612354,-2.1183624,factor_1,arc193_d,666,hard,atcoder,,,,8.595624,8.585924,-12.355657,21.301167
3018,4.540384,4.451903,-4.540384,-3.5340574,factor_1,3018,53,medium,leetcode,,,,9.674406,9.662772,-14.487131,23.390936
arc188_a,4.5365224,4.4480414,-4.5365224,-5.0904827,factor_1,arc188_a,656,hard,atcoder,,,,10.149639,10.137176,-15.420822,24.316906
2757,4.536472,4.447991,-4.536472,-2.8582041,factor_1,2757,9,hard,leetcode,,,,9.236114,9.225256,-13.6335125,22.529493
2876,4.5292306,4.4407496,-4.5292306,-3.8222933,factor_1,2876,35,easy,leetcode,,,,9.74964,9.737874,-14.645483,23.526983
3329,4.5258303,4.4373493,-4.5258303,-1.2923733,factor_1,3329,118,medium,leetcode,,,,7.1142306,7.107353,-9.493063,18.367762
3200,4.5180597,4.429579,-4.5180597,-1.4671204,factor_1,3200,82,medium,leetcode,,,,7.418622,7.4111443,-10.096264,18.955421
2850,4.4882708,4.39979,-4.4882708,-3.1878524,factor_1,2850,29,medium,leetcode,,,,9.243697,9.232826,-13.69655,22.49613
3184,4.4837356,4.3952546,-4.4837356,-4.172035,factor_1,3184,75,hard,leetcode,,,,9.6587925,9.647186,-14.513231,23.30374
3466,4.4802437,4.3917627,-4.4802437,-4.261022,factor_1,3466,164,hard,leetcode,,,,9.669912,9.658286,-14.538478,23.322002
2868,4.4797893,4.3913083,-4.4797893,-2.042224,factor_1,2868,33,medium,leetcode,,,,8.161688,8.152791,-11.588161,20.370779
2827,4.4722404,4.3837595,-4.4722404,-3.3410795,factor_1,2827,20,hard,leetcode,,,,9.258541,9.247643,-13.741622,22.50914
abc340_e,4.465166,4.376685,-4.465166,-1.6598065,factor_1,abc340_e,412,hard,atcoder,,,,7.55246,7.544722,-10.410971,19.164341
3345,4.4587374,4.3702564,-4.4587374,-2.2761838,factor_1,3345,119,hard,leetcode,,,,8.356429,8.34717,-11.990196,20.73071
arc195_e,4.445772,4.357291,-4.445772,-1.7463049,factor_1,arc195_e,672,hard,atcoder,,,,7.614696,7.606838,-10.552112,19.266693
3751,4.398456,4.309975,-4.398456,-3.8783922,factor_1,3751,269,medium,leetcode,,,,9.165238,9.154507,-13.632858,22.252808
3327,4.39309,4.304609,-4.39309,-2.9458892,factor_1,3327,116,hard,leetcode,,,,8.670196,8.660359,-12.669695,21.278913
2953,4.3861055,4.2976246,-4.3861055,-3.081401,factor_1,2953,48,medium,leetcode,,,,8.728551,8.718608,-12.790848,21.386097
3784,4.3584547,4.2699738,-4.3584547,-4.7309637,factor_1,3784,282,hard,leetcode,,,,9.228461,9.217617,-13.796556,22.336504
3388,4.3584156,4.2699347,-4.3584156,-4.320953,factor_1,3388,136,medium,leetcode,,,,9.126846,9.116184,-13.597787,22.137657
abc358_e,4.3507934,4.2623124,-4.3507934,-3.631705,factor_1,abc358_e,464,hard,atcoder,,,,8.858329,8.84815,-13.080063,21.604687
abc354_d,4.350237,4.261756,-4.350237,-3.9040425,factor_1,abc354_d,452,hard,atcoder,,,,8.960674,8.950311,-13.280854,21.804367
3702,4.3429537,4.2544727,-4.3429537,-2.6626163,factor_1,3702,254,easy,leetcode,,,,8.251569,8.242504,-11.900835,20.40978
3594,4.327658,4.239177,-4.327658,-1.8113755,factor_1,3594,210,medium,leetcode,,,,7.276424,7.269225,-10.008505,18.486858
3462,4.32669,4.2382092,-4.32669,-2.029418,factor_1,3462,162,medium,leetcode,,,,7.5548906,7.547148,-10.554201,19.03062
abc310_f,4.3205137,4.232033,-4.3205137,-2.372989,factor_1,abc310_f,327,hard,atcoder,,,,7.905412,7.896998,-11.246083,19.710148
abc335_c,4.3183455,4.2298646,-4.3183455,-3.052717,factor_1,abc335_c,399,medium,atcoder,,,,8.426425,8.417037,-12.267529,20.727257
3754,4.3171873,4.2287064,-4.3171873,-5.0862517,factor_1,3754,270,medium,leetcode,,,,9.115499,9.104857,-13.616814,22.074226
2954,4.3019824,4.2135015,-4.3019824,-5.2471247,factor_1,2954,49,medium,leetcode,,,,9.076664,9.066092,-13.556038,21.98304
abc326_d,4.3003497,4.211869,-4.3003497,-4.458077,factor_1,abc326_d,373,hard,atcoder,,,,8.906962,8.896696,-13.2256565,21.649393
3631,4.29581,4.2073293,-4.29581,-3.5043604,factor_1,3631,225,hard,leetcode,,,,8.569128,8.559477,-12.569246,20.983904
3024,4.287437,4.198956,-4.287437,-2.5953012,factor_1,3024,54,hard,leetcode,,,,7.976051,7.967503,-11.417351,19.815262
3696,4.284338,4.195857,-4.284338,-4.8531537,factor_1,3696,249,hard,leetcode,,,,8.9257765,8.915476,-13.278476,21.670189
3017,4.2572803,4.1687994,-4.2572803,-2.1232288,factor_1,3017,52,hard,leetcode,,,,7.408911,7.4014525,-10.338048,18.675648
2828,4.2546234,4.1661425,-4.2546234,-2.7596824,factor_1,2828,21,medium,leetcode,,,,7.9753275,7.966781,-11.448749,19.781033
3211,4.254236,4.1657553,-4.254236,-3.1467931,factor_1,3211,85,hard,leetcode,,,,8.220507,8.2115,-11.928786,20.260296
abc321_c,4.2498736,4.1613927,-4.2498736,-4.7347713,factor_1,abc321_c,354,medium,atcoder,,,,8.752767,8.74278,-12.974457,21.297241
3783,4.2454515,4.1569705,-4.2454515,-1.9949875,factor_1,3783,281,hard,leetcode,,,,7.2193975,7.2123113,-9.97916,18.2931
3683,4.2394543,4.1509733,-4.2394543,-3.82225,factor_1,3683,243,medium,leetcode,,,,8.46076,8.451308,-12.41359,20.715538
arc182_c,4.235103,4.146622,-4.235103,-1.9766378,factor_1,arc182_c,643,hard,atcoder,,,,7.161061,7.1540904,-9.875395,18.16864
3411,4.228009,4.1395283,-4.228009,-2.9664183,factor_1,3411,143,hard,leetcode,,,,8.010443,8.00183,-11.544059,19.823116
3759,4.2223268,4.133846,-4.2223268,-2.3477643,factor_1,3759,271,medium,leetcode,,,,7.5108514,7.503194,-10.572414,18.840107
abc395_f,4.2176123,4.1291313,-4.2176123,-2.7498896,factor_1,abc395_f,620,hard,atcoder,,,,7.8253965,7.8171344,-11.192452,19.450714
2866,4.2137976,4.1253166,-4.2137976,-1.9638754,factor_1,2866,32,easy,leetcode,,,,7.071561,7.064769,-9.72163,17.972263
3697,4.2098546,4.1213737,-4.2098546,-4.9555807,factor_1,3697,250,hard,leetcode,,,,8.62695,8.617193,-12.768326,21.011074
3033,4.208566,4.1200852,-4.208566,-2.2109234,factor_1,3033,59,medium,leetcode,,,,7.3265114,7.3192143,-10.2255745,18.465746
3600,4.2084556,4.1199746,-4.2084556,-3.2731209,factor_1,3600,211,easy,leetcode,,,,8.104701,8.095912,-11.748013,19.987963
2777,4.207673,4.119192,-4.207673,-4.073726,factor_1,2777,10,easy,leetcode,,,,8.411303,8.401941,-12.348614,20.586998
3047,4.207004,4.118523,-4.207004,-1.9528344,factor_1,3047,62,hard,leetcode,,,,7.0349026,7.028184,-9.656717,17.893764
3196,4.1990805,4.1105995,-4.1990805,-2.6215215,factor_1,3196,80,hard,leetcode,,,,7.6594048,7.65146,-10.886263,19.107462
3653,4.198462,4.109981,-4.198462,-2.260015,factor_1,3653,232,medium,leetcode,,,,7.33958,7.3322573,-10.261244,18.481205
3460,4.1815267,4.0930457,-4.1815267,-2.9819374,factor_1,3460,161,hard,leetcode,,,,7.840184,7.831894,-11.257467,19.443558
3383,4.1790094,4.0905285,-4.1790094,-1.2966474,factor_1,3383,134,medium,leetcode,,,,6.005502,6.000941,-7.671316,15.852373
3584,4.167408,4.078927,-4.167408,-2.5958233,factor_1,3584,206,medium,leetcode,,,,7.522049,7.51437,-10.649239,18.807093
3620,4.156876,4.068395,-4.156876,-2.4006996,factor_1,3620,219,medium,leetcode,,,,7.3219614,7.314673,-10.268364,18.405155
3739,4.149421,4.0609403,-4.149421,-1.7957494,factor_1,3739,265,hard,leetcode,,,,6.647853,6.6419225,-8.957228,17.07911
3306,4.1406837,4.0522027,-4.1406837,-3.371516,factor_1,3306,111,medium,leetcode,,,,7.887414,7.879034,-11.390705,19.49511
abc390_f,4.1325607,4.04408,-4.1325607,-2.3689463,factor_1,abc390_f,601,hard,atcoder,,,,7.207582,7.200519,-10.068938,18.157097
3402,4.130174,4.041693,-4.130174,-3.5224926,factor_1,3402,140,hard,leetcode,,,,7.911721,7.9032955,-11.448767,19.532152
abc320_c,4.1292596,4.0407786,-4.1292596,-3.545714,factor_1,abc320_c,350,medium,atcoder,,,,7.9175587,7.9091215,-11.4611,19.542658
3471,4.1088886,4.0204077,-4.1088886,-2.7780523,factor_1,3471,165,easy,leetcode,,,,7.4402604,7.4327407,-10.547765,18.588581
abc364_c,4.0958047,4.0073237,-4.0958047,-2.8412976,factor_1,abc364_c,484,medium,atcoder,,,,7.4341683,7.42666,-10.548931,18.563578
3541,4.083881,3.9954,-4.083881,-2.4559343,factor_1,3541,189,medium,leetcode,,,,7.1120872,7.105214,-9.93082,17.92162
3793,4.079552,3.9910712,-4.079552,-4.001702,factor_1,3793,287,medium,leetcode,,,,7.882614,7.8742433,-11.442446,19.42459
abc391_d,4.073049,3.984568,-4.073049,-1.7865602,factor_1,abc391_d,603,medium,atcoder,,,,6.3928795,6.387482,-8.534897,16.504034
3781,4.055373,3.9668922,-4.055373,-3.0956006,factor_1,3781,280,hard,leetcode,,,,7.4351263,7.4276166,-10.591236,18.52502
abc325_f,4.052021,3.96354,-4.052021,-4.3545356,factor_1,abc325_f,371,hard,atcoder,,,,7.869489,7.861143,-11.444301,19.37138
abc361_f,4.0449758,3.9564948,-4.0449758,-4.4226627,factor_1,abc361_f,476,hard,atcoder,,,,7.8582196,7.849895,-11.4293,19.342289
3195,4.038751,3.9502702,-4.038751,-3.3538096,factor_1,3195,79,medium,leetcode,,,,7.4984584,7.490825,-10.731747,18.632288
arc189_b,4.02974,3.941259,-4.02974,-3.5875037,factor_1,arc189_b,658,hard,atcoder,,,,7.559603,7.5518517,-10.860371,18.74289
3621,4.014741,3.92626,-4.014741,-2.2811916,factor_1,3621,220,easy,leetcode,,,,6.7293434,6.723245,-9.251301,17.10382
3548,3.9987137,3.9102328,-3.9987137,-5.365063,factor_1,3548,190,hard,leetcode,,,,7.84926,7.840953,-11.458035,19.278502
3591,3.9825304,3.8940494,-3.9825304,-2.479896,factor_1,3591,209,medium,leetcode,,,,6.788481,6.7822614,-9.399183,17.187283
3737,3.9802048,3.8917239,-3.9802048,-4.5955286,factor_1,3737,264,medium,leetcode,,,,7.6513853,7.6434565,-11.089452,18.8729
3770,3.9672954,3.8788145,-3.9672954,-2.022805,factor_1,3770,275,hard,leetcode,,,,6.3310833,6.325817,-8.519787,16.277416
3616,3.964003,3.8755221,-3.964003,-2.6126337,factor_1,3616,217,easy,leetcode,,,,6.824817,6.8185234,-9.488785,17.239828
3750,3.9637866,3.8753057,-3.9637866,-3.1135957,factor_1,3750,268,medium,leetcode,,,,7.120909,7.114019,-10.068172,17.818783
abc333_d,3.9476364,3.8591554,-3.9476364,-4.486932,factor_1,abc333_d,394,medium,atcoder,,,,7.510003,7.5023475,-10.845446,18.563757
3560,3.9462285,3.8577476,-3.9462285,-2.874765,factor_1,3560,197,hard,leetcode,,,,6.932814,6.926301,-9.717802,17.433298
3213,3.9437687,3.8552878,-3.9437687,-3.6484184,factor_1,3213,86,medium,leetcode,,,,7.2725267,7.265336,-10.384771,18.095346
2878,3.9414186,3.8529377,-3.9414186,-2.1925097,factor_1,2878,37,medium,leetcode,,,,6.4150357,6.4095917,-8.709862,16.415737
3654,3.937164,3.848683,-3.937164,-1.9028767,factor_1,3654,233,medium,leetcode,,,,6.1133842,6.108587,-8.124147,15.821514
abc377_e,3.9321754,3.8436944,-3.9321754,-2.138295,factor_1,abc377_e,543,hard,atcoder,,,,6.336232,6.330955,-8.564978,16.252367
3154,3.9228377,3.8343568,-3.9228377,-1.8952914,factor_1,3154,72,easy,leetcode,,,,6.0627356,6.0580487,-8.039419,15.708132
abc301_c,3.9221296,3.8336487,-3.9221296,-2.0880053,factor_1,abc301_c,295,medium,atcoder,,,,6.2576404,6.252531,-8.421312,16.08861
abc359_e,3.9203885,3.8319075,-3.9203885,-1.4708601,factor_1,abc359_e,467,hard,atcoder,,,,5.5387754,5.5352693,-7.0172205,14.681035
abc374_f,3.9161296,3.8276486,-3.9161296,-2.9716508,factor_1,abc374_f,529,hard,atcoder,,,,6.8860927,6.8796744,-9.656513,17.311811
3603,3.8950233,3.8065424,-3.8950233,-3.8047776,factor_1,3603,212,hard,leetcode,,,,7.152951,7.145996,-10.19961,17.812695
3717,3.8948934,3.8064125,-3.8948934,-5.376364,factor_1,3717,258,hard,leetcode,,,,7.466662,7.4590907,-10.813405,18.42623
3588,3.8851476,3.7966666,-3.8851476,-3.3247418,factor_1,3588,208,hard,leetcode,,,,6.949039,6.942493,-9.810619,17.403954
3080,3.883729,3.795248,-3.883729,-4.6531677,factor_1,3080,63,medium,leetcode,,,,7.3137283,7.306456,-10.525406,18.115902
3496,3.8823924,3.7939115,-3.8823924,-2.9951649,factor_1,3496,174,medium,leetcode,,,,6.7869086,6.780692,-9.496244,17.084068
3552,3.8774693,3.7889884,-3.8774693,-2.4022455,factor_1,3552,193,hard,leetcode,,,,6.3926244,6.3872275,-8.729979,16.307955
3794,3.8702993,3.7818184,-3.8702993,-2.8047001,factor_1,3794,288,medium,leetcode,,,,6.642424,6.636505,-9.225732,16.789368
2879,3.8699996,3.7815187,-3.8699996,-2.9900725,factor_1,2879,38,hard,leetcode,,,,6.743746,6.7376175,-9.4242115,16.98725
3687,3.851431,3.76295,-3.851431,-2.5774403,factor_1,3687,246,hard,leetcode,,,,6.4388824,6.433388,-8.846491,16.37239
3562,3.845633,3.757152,-3.845633,-5.1695986,factor_1,3562,198,hard,leetcode,,,,7.2632585,7.256086,-10.464777,17.97908
3264,3.8391213,3.7506404,-3.8391213,-2.785165,factor_1,3264,102,medium,leetcode,,,,6.531684,6.525995,-9.04031,16.54159
2882,3.8362343,3.7477534,-3.8362343,-2.855314,factor_1,2882,39,medium,leetcode,,,,6.562739,6.556985,-9.103937,16.599443
abc310_d,3.8215604,3.7330794,-3.8215604,-2.5294182,factor_1,abc310_d,325,medium,atcoder,,,,6.3138285,6.308599,-8.631775,16.097933
3423,3.8211856,3.7327046,-3.8211856,-1.9396105,factor_1,3423,147,hard,leetcode,,,,5.815786,5.811646,-7.6581216,15.123531
3583,3.8167684,3.7282875,-3.8167684,-3.870229,factor_1,3583,205,hard,leetcode,,,,6.9068065,6.900346,-9.796391,17.252966
3025,3.8166146,3.7281337,-3.8166146,-2.7459903,factor_1,3025,55,hard,leetcode,,,,6.438002,6.43251,-8.879585,16.335854
2952,3.8164423,3.7279613,-3.8164423,-2.932609,factor_1,2952,47,hard,leetcode,,,,6.5420136,6.536303,-9.083193,16.539116
abc307_d,3.8100405,3.7215595,-3.8100405,-2.5292847,factor_1,abc307_d,314,medium,atcoder,,,,6.2786837,6.2735295,-8.574558,16.017677
2849,3.786142,3.6976612,-3.786142,-2.3056216,factor_1,2849,28,hard,leetcode,,,,6.0423985,6.037756,-8.13634,15.531663
3394,3.7852573,3.6967764,-3.7852573,-2.5614104,factor_1,3394,137,medium,leetcode,,,,6.225627,6.220587,-8.495574,15.889127
3482,3.7825365,3.6940556,-3.7825365,-3.607271,factor_1,3482,167,hard,leetcode,,,,6.7151275,6.7090583,-9.455699,16.843811
arc186_b,3.781474,3.6929932,-3.781474,-2.5316937,factor_1,arc186_b,653,hard,atcoder,,,,6.1942954,6.189323,-8.43808,15.824066
3032,3.7761347,3.6876538,-3.7761347,-3.0506198,factor_1,3032,58,hard,leetcode,,,,6.474528,6.4689584,-8.991505,16.366812
abc399_e,3.7695718,3.6810908,-3.7695718,-2.9752092,factor_1,abc399_e,635,hard,atcoder,,,,6.417431,6.4119816,-8.886393,16.248575
3426,3.765396,3.6769152,-3.765396,-3.1714675,factor_1,3426,148,easy,leetcode,,,,6.4959683,6.490354,-9.044179,16.39801
3657,3.7648947,3.6764138,-3.7648947,-2.1337686,factor_1,3657,235,medium,leetcode,,,,5.8387976,5.834606,-7.7594147,15.112242
3680,3.761296,3.672815,-3.761296,-3.1221664,factor_1,3680,240,hard,leetcode,,,,6.461389,6.4558477,-8.980646,16.326277
3141,3.753111,3.66463,-3.753111,-5.011366,factor_1,3141,69,medium,leetcode,,,,6.92506,6.9185624,-9.895753,17.225014
3575,3.7530794,3.6645985,-3.7530794,-2.6170652,factor_1,3575,203,hard,leetcode,,,,6.165613,6.160702,-8.410378,15.739575
abc380_g,3.7504308,3.6619499,-3.7504308,-3.5117638,factor_1,abc380_g,560,hard,atcoder,,,,6.5805798,6.574789,-9.224637,16.548536
3308,3.7484243,3.6599433,-3.7484243,-2.0197043,factor_1,3308,112,medium,leetcode,,,,5.6904,5.6865444,-7.4856834,14.805571
3627,3.734658,3.646177,-3.734658,-4.4949865,factor_1,3627,223,medium,leetcode,,,,6.7795353,6.7733335,-9.629557,16.921911
3316,3.7305038,3.6420228,-3.7305038,-3.139356,factor_1,3316,114,hard,leetcode,,,,6.373986,6.368629,-8.84049,16.124537
3479,3.7160356,3.6275547,-3.7160356,-2.9928594,factor_1,3479,166,medium,leetcode,,,,6.262801,6.257681,-8.6375,15.89261
3646,3.7156131,3.6271322,-3.7156131,-3.5800993,factor_1,3646,229,hard,leetcode,,,,6.4940243,6.4884143,-9.090159,16.344423
3605,3.7147357,3.6262548,-3.7147357,-2.520692,factor_1,3605,214,easy,leetcode,,,,5.9908905,5.986361,-8.107013,15.359523
