item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,loading_factor_2,dominant_factor,item_id_meta,selected_order,difficulty_meta,platform,question_content,starter_code,prompt,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
abc399_c,4.5549536,3.8867135,-4.5549536,-0.3499244,8.695108,factor_2,abc399_c,633,medium,atcoder,,,,2.6641493,2.6814764,-1.3689804,9.142407
3527,4.5051203,3.8368802,-4.5051203,-1.4718094,-0.88337165,factor_1,3527,183,hard,leetcode,,,,14.400132,14.382765,-24.35334,32.0271
abc365_d,4.453732,3.785492,-4.453732,-2.9521258,2.4053373,factor_1,abc365_d,490,medium,atcoder,,,,6.8940353,6.8920774,-9.7229805,17.293964
abc396_g,4.442364,3.7741241,-4.442364,-3.3861098,2.6106398,factor_1,abc396_g,625,hard,atcoder,,,,7.3663177,7.3631325,-10.657616,18.205864
abc330_d,4.2692575,3.6010175,-4.2692575,-2.3911636,2.104436,factor_1,abc330_d,386,medium,atcoder,,,,5.729268,5.7307086,-7.6311717,14.833206
abc396_c,4.2506685,3.5824285,-4.2506685,-2.2124922,2.021702,factor_1,abc396_c,621,medium,atcoder,,,,5.4457545,5.4481306,-7.0959077,14.260765
abc321_b,4.18004,3.5117998,-4.18004,-0.27234712,7.6647162,factor_2,abc321_b,353,easy,atcoder,,,,2.2979093,2.3191352,-1.0337052,8.057304
abc344_d,4.169793,3.501553,-4.169793,-2.1053343,1.9572078,factor_1,abc344_d,424,hard,atcoder,,,,5.1345277,5.1379957,-6.5689187,13.572025
abc355_d,4.1396527,3.4714127,-4.1396527,-4.0597076,2.8786013,factor_1,abc355_d,456,medium,atcoder,,,,7.1603074,7.157649,-10.55758,17.500404
abc387_c,4.129304,3.4610639,-4.129304,-3.980758,1.4507254,factor_1,abc387_c,587,medium,atcoder,,,,10.208947,10.199406,-16.529772,23.451899
3781,4.1086855,3.4404454,-4.1086855,-1.2217196,-0.6711431,factor_1,3781,280,hard,leetcode,,,,9.464108,9.456108,-15.093527,21.974417
2817,4.0290694,3.3608294,-4.0290694,-1.5700043,-0.9540683,factor_1,2817,18,medium,leetcode,,,,12.253675,12.240177,-20.629917,27.351578
arc195_b,4.0176396,3.3493996,-4.0176396,-1.8511322,1.81301,factor_1,arc195_b,671,hard,atcoder,,,,4.502087,4.5080423,-5.4863634,12.185163
3535,3.927026,3.258786,-3.927026,-1.7307276,-1.0124542,factor_1,3535,188,hard,leetcode,,,,12.6945,12.680188,-21.594383,28.111954
abc311_a,3.8793797,3.2111397,-3.8793797,0.7493591,6.0724034,factor_2,abc311_a,328,easy,atcoder,,,,1.8113695,1.8398303,-0.39492774,6.8172073
arc185_b,3.874822,3.2065818,-3.874822,-2.1817405,-2.6512468,factor_2,arc185_b,649,hard,atcoder,,,,26.056038,26.019648,-47.791927,54.20509
abc383_c,3.7489603,3.0807202,-3.7489603,-3.7337523,2.6492317,factor_1,abc383_c,569,medium,atcoder,,,,5.8697143,5.87071,-8.425872,14.587312
arc186_b,3.7038097,3.0355697,-3.7038097,-1.4562807,-0.96025646,factor_1,arc186_b,653,hard,atcoder,,,,10.062565,10.053321,-16.66894,22.74008
3462,3.6869626,3.0187225,-3.6869626,-1.5467099,-0.92590255,factor_1,3462,162,medium,leetcode,,,,10.082197,10.072913,-16.724188,22.761633
abc302_e,3.6645563,2.9963162,-3.6645563,-4.734105,3.1019614,factor_1,abc302_e,299,hard,atcoder,,,,6.4201374,6.419489,-9.585882,15.578514
3363,3.6617131,2.993473,-3.6617131,-1.5338627,-0.9175769,factor_1,3363,127,medium,leetcode,,,,9.864485,9.855648,-16.323597,22.310543
abc373_c,3.6106195,2.9423795,-3.6106195,2.4957006,3.0651758,factor_2,abc373_c,524,medium,atcoder,,,,1.3577387,1.3970052,0.20424914,5.6805096
3464,3.596598,2.9283578,-3.596598,-1.8159385,-2.8393095,factor_2,3464,163,medium,leetcode,,,,16.756695,16.735285,-29.8728,35.729515
3743,3.5009155,2.8326755,-3.5009155,-2.9475982,-1.9971527,factor_1,3743,266,medium,leetcode,,,,25.377262,25.341936,-46.83752,52.502872
abc376_e,3.482693,2.814453,-3.482693,-3.4215221,2.4540024,factor_1,abc376_e,541,hard,atcoder,,,,5.061093,5.06483,-7.1126137,12.74152
abc377_e,3.3965406,2.7283006,-3.3965406,-2.9007595,-2.1985471,factor_1,abc377_e,543,hard,atcoder,,,,25.423414,25.388014,-47.032207,52.48881
abc325_b,3.388134,2.719894,-3.388134,-2.3077602,1.8980023,factor_1,abc325_b,367,medium,atcoder,,,,4.022068,4.030235,-5.1793666,10.619154
abc366_d,3.3551419,2.6869018,-3.3551419,-3.5388985,2.478172,factor_1,abc366_d,494,medium,atcoder,,,,4.8946652,4.8990297,-6.9151964,12.2890005
2884,3.3354144,2.6671743,-3.3354144,-1.9826617,-1.5376787,factor_1,2884,40,hard,leetcode,,,,13.372749,13.357207,-23.51295,28.847301
3759,3.315721,2.647481,-3.315721,-2.629028,-2.3664167,factor_1,3759,271,medium,leetcode,,,,22.90509,22.873667,-42.184906,47.479866
arc182_a,3.2362726,2.5680325,-3.2362726,-3.2486567,1.1400509,factor_1,arc182_a,642,hard,atcoder,,,,5.9051843,5.9060693,-9.007864,14.143929
3551,3.2195857,2.5513456,-3.2195857,-2.5130007,-2.646139,factor_2,3551,192,hard,leetcode,,,,22.33565,22.30513,-41.16671,46.2694
3571,3.2084057,2.5401657,-3.2084057,-2.5507238,-1.8928722,factor_1,3571,201,hard,leetcode,,,,18.040297,18.016745,-32.772655,37.852985
abc323_d,3.158798,2.490558,-3.158798,-1.7594346,-1.1256608,factor_1,abc323_d,361,hard,atcoder,,,,9.349991,9.342233,-15.820218,20.801334
3487,3.1296346,2.4613945,-3.1296346,-2.4122298,-1.780918,factor_1,3487,169,medium,leetcode,,,,15.746102,15.726405,-28.36236,33.28515
abc312_d,3.1244807,2.4562407,-3.1244807,-1.9120692,8.036219,factor_2,abc312_d,333,medium,atcoder,,,,3.0722702,3.0861857,-3.5926833,8.505165
3174,3.117682,2.449442,-3.117682,-1.2829981,-1.4293472,factor_2,3174,74,medium,leetcode,,,,8.136191,8.131136,-13.487585,18.386469
3466,3.1060338,2.4377937,-3.1060338,-1.8716719,-2.928906,factor_2,3466,164,hard,leetcode,,,,13.7776165,13.76135,-24.534452,29.41004
3715,3.1056602,2.4374201,-3.1056602,-1.7599936,-1.0951905,factor_1,3715,256,medium,leetcode,,,,8.955212,8.948306,-15.101261,19.9761
abc389_d,3.0849898,2.4167497,-3.0849898,-3.1410277,2.239562,factor_1,abc389_d,594,medium,atcoder,,,,4.16205,4.169536,-5.755541,10.589041
abc357_c,3.0829258,2.4146857,-3.0829258,-3.8838716,1.1909722,factor_1,abc357_c,459,medium,atcoder,,,,7.6125703,7.608771,-12.498505,17.327877
3361,3.061287,2.3930469,-3.061287,-2.255462,-3.194298,factor_2,3361,125,easy,leetcode,,,,19.430063,19.404226,-35.639236,40.42533
abc326_d,3.0097995,2.3415594,-3.0097995,-2.1771717,-2.7273672,factor_2,abc326_d,373,hard,atcoder,,,,17.100992,17.079002,-31.133286,35.816406
abc370_c,2.9530303,2.2847903,-2.9530303,-3.4320235,2.3520703,factor_1,abc370_c,512,medium,atcoder,,,,4.130347,4.1379843,-5.8256598,10.39524
3686,2.9369864,2.2687464,-2.9369864,-1.9363923,-1.594836,factor_1,3686,245,medium,leetcode,,,,10.980823,10.969747,-19.231956,23.769451
3000,2.9163628,2.2481227,-2.9163628,-2.3099058,-1.3847635,factor_1,3000,51,medium,leetcode,,,,11.425793,11.4138565,-20.123035,24.619282
abc368_f,2.903425,2.235185,-2.903425,-1.7273208,7.4957156,factor_2,abc368_f,506,hard,atcoder,,,,2.7692235,2.785594,-3.2245796,7.694949
abc361_c,2.9003737,2.2321336,-2.9003737,0.27768484,1.4992458,factor_2,abc361_c,473,medium,atcoder,,,,0.9809724,1.0358973,0.20177507,4.262492
3104,2.8931808,2.2249408,-2.8931808,-2.452677,-1.6944715,factor_1,3104,66,medium,leetcode,,,,13.748281,13.732065,-24.689907,29.13979
abc382_d,2.8802917,2.2120516,-2.8802917,0.27552122,1.4901971,factor_2,abc382_d,566,hard,atcoder,,,,0.9789515,1.0339893,0.18543243,4.238671
3721,2.8648496,2.1966095,-2.8648496,-2.2824645,-1.4020219,factor_1,3721,260,medium,leetcode,,,,11.143079,11.131687,-19.621498,24.014717
3114,2.8616052,2.193365,-2.8616052,-2.8860476,-3.286206,factor_2,3114,68,medium,leetcode,,,,26.20379,26.167171,-49.09429,53.481026
abc319_e,2.8509173,2.1826773,-2.8509173,-6.639983,3.8381124,factor_1,abc319_e,349,hard,atcoder,,,,5.6834617,5.6850495,-8.96002,13.325375
3184,2.8235002,2.15526,-2.8235002,-1.9272413,-1.2083256,factor_1,3184,75,hard,leetcode,,,,8.761139,8.754661,-15.003876,19.314396
3682,2.8165603,2.1483202,-2.8165603,-2.8672771,-1.7888354,factor_1,3682,242,hard,leetcode,,,,16.03664,16.016447,-29.243916,33.540558
3655,2.8162658,2.1480258,-2.8162658,-3.0569193,-2.8361096,factor_1,3655,234,medium,leetcode,,,,24.69494,24.660686,-46.18692,50.48297
abc361_e,2.8072782,2.139038,-2.8072782,-5.2704334,3.1902835,factor_1,abc361_e,475,hard,atcoder,,,,4.860063,4.864561,-7.395502,11.673578
abc329_e,2.802868,2.1346278,-2.802868,-3.4095335,1.0696747,factor_1,abc329_e,384,hard,atcoder,,,,5.8002605,5.8014746,-9.236263,13.505518
3603,2.7833266,2.1150866,-2.7833266,-2.401003,-1.4973413,factor_1,3603,212,hard,leetcode,,,,11.688273,11.6758375,-20.769554,24.99973
3026,2.775923,2.107683,-2.775923,-2.3331366,-2.6343882,factor_2,3026,56,medium,leetcode,,,,16.317745,16.297075,-29.834585,34.04995
abc342_c,2.7396588,2.0714188,-2.7396588,0.0392678,0.54096586,factor_2,abc342_c,418,medium,atcoder,,,,1.0838759,1.1335495,-0.15033817,4.2931757
2837,2.7360198,2.0677798,-2.7360198,-1.7780622,-1.4013349,factor_1,2837,24,medium,leetcode,,,,8.656992,8.650745,-14.887682,19.023241
3495,2.7154043,2.0471642,-2.7154043,-2.1146672,-3.0936427,factor_2,3495,173,medium,leetcode,,,,14.445981,14.428534,-26.232761,30.327091
3795,2.6989734,2.0307333,-2.6989734,-1.9425316,-2.177339,factor_2,3795,289,medium,leetcode,,,,11.503755,11.491669,-20.492937,24.554403
3360,2.6980262,2.029786,-2.6980262,-2.3831344,-1.4852039,factor_1,3360,124,medium,leetcode,,,,11.06865,11.057404,-19.642727,23.702297
abc376_b,2.6934583,2.0252182,-2.6934583,-4.516768,2.8158224,factor_1,abc376_b,538,medium,atcoder,,,,4.286601,4.2935076,-6.3900566,10.440493
abc363_d,2.6847634,2.0165234,-2.6847634,-4.3848934,2.7523143,factor_1,abc363_d,481,medium,atcoder,,,,4.2087245,4.2159905,-6.2468185,10.279865
abc352_c,2.6845365,2.0162964,-2.6845365,0.18090016,0.33316574,factor_2,abc352_c,444,medium,atcoder,,,,0.93446946,0.9921053,0.07176995,3.9608228
3327,2.683801,2.0155609,-2.683801,-1.7812916,-1.5510712,factor_1,3327,116,hard,leetcode,,,,8.906195,8.899396,-15.427255,19.458376
3629,2.670624,2.002384,-2.670624,-2.5413964,-1.8211482,factor_1,3629,224,medium,leetcode,,,,13.389631,13.374058,-24.21077,28.215538
3649,2.6683896,2.0001495,-2.6683896,-2.671398,-1.8169618,factor_1,3649,231,medium,leetcode,,,,14.039391,14.022659,-25.484264,29.484562
abc385_e,2.6645052,1.9962652,-2.6645052,-4.076213,1.0611178,factor_1,abc385_e,581,hard,atcoder,,,,7.179657,7.1769485,-12.070554,16.063084
abc356_d,2.663858,1.9956179,-2.663858,-1.8049165,7.3259306,factor_2,abc356_d,457,medium,atcoder,,,,2.7444782,2.7610686,-3.4160767,7.4073124
3639,2.6600742,1.9918342,-2.6600742,-1.7744324,-2.1700883,factor_2,3639,228,medium,leetcode,,,,10.181399,10.171914,-17.945118,21.928787
abc379_e,2.6533215,1.9850814,-2.6533215,0.028564088,0.52788943,factor_2,abc379_e,552,hard,atcoder,,,,1.0698289,1.1201656,-0.21044326,4.180606
2870,2.6507862,1.9825461,-2.6507862,-2.752095,-2.4592142,factor_1,2870,34,easy,leetcode,,,,17.837053,17.813837,-32.932575,36.89767
3033,2.6391425,1.9709024,-2.6391425,-2.1431954,-3.1284628,factor_2,3033,59,medium,leetcode,,,,14.263958,14.24683,-25.952885,29.894691
abc310_f,2.62014,1.9519,-2.62014,-3.3587856,-2.4649143,factor_1,abc310_f,327,hard,atcoder,,,,22.77039,22.73918,-42.616894,46.520695
abc400_c,2.6105049,1.9422648,-2.6105049,-3.3947048,1.0184106,factor_1,abc400_c,638,medium,atcoder,,,,5.47331,5.4755926,-8.789897,12.674426
abc376_d,2.6080046,1.9397645,-2.6080046,0.022890434,0.5211696,factor_2,abc376_d,540,medium,atcoder,,,,1.0625446,1.1132313,-0.2421689,4.121698
2800,2.595638,1.927398,-2.595638,-2.1011612,-1.3700992,factor_1,2800,13,easy,leetcode,,,,9.024407,9.01735,-15.74661,19.601406
abc351_a,2.5822375,1.9139974,-2.5822375,1.5371482,3.4486666,factor_2,abc351_a,439,easy,atcoder,,,,1.2245625,1.2683611,-0.5719905,4.3999853
abc380_d,2.5813096,1.9130695,-2.5813096,-3.9700336,1.0284173,factor_1,abc380_d,557,medium,atcoder,,,,6.73136,6.729842,-11.277421,15.10356
3239,2.568456,1.9002159,-2.568456,-2.3727274,-2.7631068,factor_2,3239,95,medium,leetcode,,,,15.46077,15.441562,-28.365246,32.165676
3620,2.5414844,1.8732443,-2.5414844,-2.2087872,-1.5301406,factor_1,3620,219,medium,leetcode,,,,9.828301,9.819539,-17.373055,21.119541
3794,2.5339549,1.8657148,-2.5339549,-2.5586333,-1.6568856,factor_1,3794,288,medium,leetcode,,,,11.765405,11.752822,-21.169817,24.901247
arc189_b,2.530919,1.862679,-2.530919,-3.2746725,-2.0069501,factor_1,arc189_b,658,hard,atcoder,,,,17.713886,17.690874,-32.811436,36.536793
abc325_f,2.524319,1.8560789,-2.524319,-3.259263,-2.281429,factor_1,abc325_f,371,hard,atcoder,,,,19.575445,19.549374,-36.460693,40.17285
abc390_d,2.523989,1.8557489,-2.523989,-3.6381056,1.0061289,factor_1,abc390_d,599,medium,atcoder,,,,5.8640494,5.865063,-9.639775,13.351274
2777,2.51796,1.84972,-2.51796,-3.2167761,-1.9358786,factor_1,2777,10,easy,leetcode,,,,16.695398,16.67409,-30.831497,34.530937
abc398_f,2.5150928,1.8468528,-2.5150928,-3.915033,1.0140991,factor_1,abc398_f,632,hard,atcoder,,,,6.4690757,6.4682884,-10.830994,14.524698
3313,2.513363,1.8451228,-2.513363,-2.8443093,-2.1021128,factor_1,3313,113,hard,leetcode,,,,15.474435,15.455203,-28.447075,32.13732
3555,2.4902725,1.8220325,-2.4902725,-1.919387,-2.4916396,factor_2,3555,194,easy,leetcode,,,,10.776219,10.765545,-19.278435,22.9225
abc340_c,2.4883542,1.8201141,-2.4883542,-2.8864703,2.0063324,factor_1,abc340_c,410,medium,atcoder,,,,3.201515,3.2144978,-4.480302,8.12053
3605,2.4842305,1.8159904,-2.4842305,-2.713296,-1.588782,factor_1,3605,214,easy,leetcode,,,,11.689075,11.676638,-21.070219,24.7022
3647,2.448899,1.780659,-2.448899,-2.1349177,-2.4814138,factor_2,3647,230,medium,leetcode,,,,12.057612,12.04448,-21.826523,25.38784
3548,2.4443316,1.7760916,-2.4443316,-2.2221596,-2.8873143,factor_2,3548,190,hard,leetcode,,,,13.598166,13.582219,-24.845058,28.39724
3720,2.4384518,1.7702117,-2.4384518,-2.687605,-1.6520337,factor_1,3720,259,medium,leetcode,,,,11.706371,11.693901,-21.149834,24.690258
3771,2.4225988,1.7543588,-2.4225988,-2.847986,-1.6772563,factor_1,3771,276,medium,leetcode,,,,12.398133,12.384368,-22.519003,26.02772
2915,2.4204147,1.7521746,-2.4204147,-2.776238,-2.2339697,factor_1,2915,42,medium,leetcode,,,,15.00725,14.988824,-27.625921,31.13027
abc380_g,2.4187841,1.7505441,-2.4187841,-2.3482285,-2.74326,factor_2,abc380_g,560,hard,atcoder,,,,14.103333,14.086489,-25.858974,29.360062
3224,2.4175048,1.7492647,-2.4175048,-2.4551964,-2.8362823,factor_2,3224,89,hard,leetcode,,,,15.222391,15.203593,-28.049778,31.54831
3646,2.4111326,1.7428925,-2.4111326,-2.5283363,-1.5012544,factor_1,3646,229,hard,leetcode,,,,10.14709,10.137673,-18.126947,21.612734
3779,2.408569,1.740329,-2.408569,-1.5701991,-1.5913101,factor_2,3779,279,medium,leetcode,,,,7.0815988,7.079145,-12.134795,15.615453
3532,2.3777869,1.7095468,-2.3777869,-2.7331614,-2.2171295,factor_1,3532,186,hard,leetcode,,,,14.349818,14.33254,-26.38223,29.801325
3658,2.374025,1.705785,-2.374025,-2.7190244,-1.8936064,factor_1,3658,236,hard,leetcode,,,,12.729841,12.715465,-23.216526,26.628098
abc399_d,2.352496,1.6842558,-2.352496,-5.696664,0.94265276,factor_1,abc399_d,634,medium,atcoder,,,,11.24909,11.237494,-20.341234,23.709745
abc390_f,2.3454397,1.6771996,-2.3454397,-2.8322005,-2.2869687,factor_1,abc390_f,601,hard,atcoder,,,,15.0545435,15.0360365,-27.793432,31.147833
3754,2.3081026,1.6398625,-2.3081026,-2.2184467,-2.0100932,factor_1,3754,270,medium,leetcode,,,,10.39645,10.386531,-18.71774,21.997463
arc183_a,2.3012688,1.6330287,-2.3012688,-3.9054823,0.93219674,factor_1,arc183_a,646,medium,atcoder,,,,6.0182147,6.0187516,-10.163725,13.429783
abc311_d,2.2999122,1.6316721,-2.2999122,-1.9808367,-2.5950239,factor_2,abc311_d,330,medium,atcoder,,,,10.357452,10.34761,-18.649645,21.912989
2876,2.2937462,1.6255062,-2.2937462,-2.9049382,-2.13755,factor_1,2876,35,easy,leetcode,,,,14.392743,14.375388,-26.550257,29.801268
abc392_c,2.286193,1.6179528,-2.286193,0.05414965,1.8072003,factor_2,abc392_c,607,medium,atcoder,,,,0.9898948,1.0443256,-0.42892528,3.664831
3526,2.284864,1.6166239,-2.284864,-2.0684018,-2.964378,factor_2,3526,182,medium,leetcode,,,,11.221905,11.2103615,-20.355686,23.588932
3329,2.2846105,1.6163704,-2.2846105,-2.593063,-1.5987176,factor_1,3329,118,medium,leetcode,,,,10.235052,10.225458,-18.425528,21.65827
3267,2.2845492,1.6163092,-2.2845492,-2.6595762,-1.7004492,factor_1,3267,104,medium,leetcode,,,,10.988507,10.977416,-19.899426,23.132046
2848,2.2831154,1.6148753,-2.2831154,-2.1492507,-2.2980638,factor_2,2848,27,medium,leetcode,,,,10.737372,10.726775,-19.409603,22.639355
abc361_d,2.2703502,1.6021101,-2.2703502,-3.4276836,0.91918874,factor_1,abc361_d,474,hard,atcoder,,,,5.0204244,5.024312,-8.245542,11.449761
3654,2.269868,1.6016278,-2.269868,-1.8731744,-1.9369073,factor_2,3654,233,medium,leetcode,,,,8.47404,8.468206,-14.9960575,18.199312
abc331_b,2.2594566,1.5912166,-2.2594566,0.052279864,1.7878332,factor_2,abc331_b,388,easy,atcoder,,,,0.987282,1.0418566,-0.4508226,3.6332557
abc397_e,2.256917,1.5886769,-2.256917,-3.0682755,0.8928495,factor_1,abc397_e,628,hard,atcoder,,,,4.3444157,4.351061,-6.939402,10.116756
3587,2.2555697,1.5873296,-2.2555697,-2.2560585,-3.2621143,factor_2,3587,207,medium,leetcode,,,,13.013394,12.998501,-23.889732,27.064392
abc323_c,2.2554383,1.5871983,-2.2554383,0.051795833,1.7873145,factor_2,abc323_c,360,medium,atcoder,,,,0.9870706,1.0416569,-0.45444918,3.6288457
3692,2.2457805,1.5775404,-2.2457805,-2.2274902,-3.4504213,factor_2,3692,248,hard,leetcode,,,,12.343474,12.32981,-22.588886,25.743969
abc327_d,2.24009,1.5718498,-2.24009,0.049957126,1.782307,factor_2,abc327_d,376,medium,atcoder,,,,0.9861063,1.0407459,-0.4680121,3.6117117
3580,2.206695,1.538455,-2.206695,-2.2873156,-2.0806024,factor_1,3580,204,hard,leetcode,,,,10.412499,10.402548,-18.85054,21.927448
3423,2.2038617,1.5356216,-2.2038617,-2.3810177,-1.493467,factor_1,3423,147,hard,leetcode,,,,8.693681,8.687353,-15.4915905,18.562834
3141,2.1961236,1.5278835,-2.1961236,-2.1774552,-3.3400438,factor_2,3141,69,medium,leetcode,,,,11.596975,11.584713,-21.178154,24.233921
3832,2.1950414,1.5268013,-2.1950414,-2.3371718,-2.678294,factor_2,3832,293,easy,leetcode,,,,12.369219,12.355506,-22.689991,25.743595
3507,2.1852171,1.5169771,-2.1852171,-2.6945093,-1.7167212,factor_1,3507,177,medium,leetcode,,,,10.668188,10.657727,-19.372168,22.406122
