item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,dominant_factor,item_id_meta,original_id,order,pair_id,source,split,response_model,gold_label,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
1803:swapped,6.861543,7.9259143,-6.861543,3.0112584,factor_1,1803:swapped,1803,swapped,01fb6121-e025-5251-a55f-f903c79e4ec6,mmlu-pro-law,gpt,gpt-4o-2024-05-13,B>A,1.2708068,1.2934942,5.3906655,10.461163
11185:swapped,6.3550854,7.4194565,-6.3550854,2.8035514,factor_1,11185:swapped,11185,swapped,dcfbadd5-4b7c-5ffd-b66d-5cb0a380605d,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,1.2383323,1.2618134,4.9463024,9.892611
6072:swapped,5.5639753,6.6283464,-5.5639753,-0.94123703,factor_1,6072:swapped,6072,swapped,37577e35-cf0b-5880-97a1-857736d76651,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,6.812346,6.795246,-6.690336,19.94703
5145:swapped,5.240194,6.304565,-5.240194,3.7751997,factor_1,5145:swapped,5145,swapped,b1614f17-39fb-564a-84c7-bcd7a2054dc8,mmlu-pro-other,gpt,gpt-4o-2024-05-13,B>A,1.1959369,1.2205087,3.9123678,8.696762
4426:original,4.9707284,6.0350995,-4.9707284,-0.8564395,factor_1,4426:original,4426,original,35eb196e-50d4-5501-8f44-cc5dc85f6291,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,B>A,5.1618075,5.1516895,-4.0622125,16.132412
7568:swapped,4.6935434,5.7579145,-4.6935434,0.8323133,factor_1,7568:swapped,7568,swapped,a5c0fd0a-7440-5461-9a32-c6c5ff574ae0,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,1.2031045,1.2274874,3.352039,8.16379
10340:swapped,4.617662,5.682033,-4.617662,0.81889045,factor_1,10340:swapped,10340,swapped,d2b16371-9e1f-5869-aa69-579218b20eaa,mmlu-pro-physics,gpt,gpt-4o-2024-05-13,B>A,1.1916889,1.2163736,3.2979407,8.066126
3250:original,4.5952044,5.6595755,-4.5952044,-6.2210836,factor_1,3250:original,3250,original,49c0f568-1ac2-53dc-be78-f3eea93820fd,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,A>B,2.2908657,2.2984018,1.1547079,10.164443
3250:swapped,4.4962454,5.5606165,-4.4962454,-0.8177404,factor_1,3250:swapped,3250,swapped,49c0f568-1ac2-53dc-be78-f3eea93820fd,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,4.1181407,4.113104,-2.5010672,13.6223
11002:original,4.475889,5.5402603,-4.475889,-0.8050041,factor_1,11002:original,11002,original,aecacdc0-1dfc-5339-b6c7-eea5baa1471d,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,4.082707,4.0778575,-2.4523406,13.532862
2759:original,4.382537,5.446908,-4.382537,-0.945143,factor_1,2759:original,2759,original,c67cf264-33f9-5730-aeea-a7364756a96b,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,3.8345077,3.8310099,-2.0618715,12.9556875
5958:original,4.303211,5.3675823,-4.303211,4.331517,factor_1,5958:original,5958,original,336452fa-776b-5de9-98c8-2a6685d840fa,mmlu-pro-other,gpt,gpt-4o-2024-05-13,B>A,1.3193711,1.3409327,2.7393541,7.9958105
2646:swapped,3.9266338,4.991005,-3.9266338,0.42468786,factor_1,2646:swapped,2646,swapped,faba206f-9a89-5991-9ac3-f43727d2a566,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,1.1745756,1.199722,2.6395497,7.34246
10340:original,3.5944705,4.6588416,-3.5944705,-5.1669827,factor_1,10340:original,10340,original,d2b16371-9e1f-5869-aa69-579218b20eaa,mmlu-pro-physics,gpt,gpt-4o-2024-05-13,A>B,1.9888566,1.9996322,0.7395623,8.578121
9886:original,3.4035256,4.467897,-3.4035256,1.2495136,factor_1,9886:original,9886,original,70ed90f8-052e-5088-a47b-70b409d2b518,mmlu-pro-physics,gpt,gpt-4o-2024-05-13,B>A,1.0374551,1.0667652,2.377037,6.558757
10610:swapped,3.3782942,4.4426656,-3.3782942,2.4387789,factor_1,10610:swapped,10610,swapped,9e079604-2288-52ba-9d89-4868ccd34200,mmlu-pro-computer science,gpt,gpt-4o-2024-05-13,B>A,1.0491978,1.0781149,2.3295603,6.555771
5304:original,3.3629515,4.427323,-3.3629515,3.4190125,factor_1,5304:original,5304,original,907c3d20-a0dc-5b21-b4ba-1e784d7cfaf6,mmlu-pro-other,gpt,gpt-4o-2024-05-13,B>A,1.2442517,1.2675856,1.9428549,6.911791
4681:original,3.331739,4.39611,-3.331739,3.3962717,factor_1,4681:original,4681,original,a22906b1-02f2-59da-ba1f-7a75487ba740,mmlu-pro-history,gpt,gpt-4o-2024-05-13,B>A,1.243531,1.2668828,1.9130197,6.8792005
3714:original,3.2619445,4.326316,-3.2619445,3.3416839,factor_1,3714:original,3714,original,7437394e-a300-5428-b321-e3ce7dd9b694,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,B>A,1.2407844,1.2642044,1.8484752,6.8041563
11395:original,2.938406,4.002777,-2.938406,0.44053978,factor_1,11395:original,11395,original,83adf077-567f-5ce2-91e7-bf02decdaa21,mmlu-pro-engineering,gpt,gpt-4o-2024-05-13,B>A,0.9280495,0.9614297,2.1183748,5.8871794
1198:swapped,2.9329925,3.9973636,-2.9329925,0.43963394,factor_1,1198:swapped,1198,swapped,a4eff39a-4f2e-5cee-a6de-b8e74625269f,mmlu-pro-law,gpt,gpt-4o-2024-05-13,B>A,0.9272048,0.9606196,2.1145492,5.880178
6929:original,2.8302293,3.8946004,-2.8302293,9.088352,factor_1,6929:original,6929,original,91f41b79-7c04-5300-b622-e6f1cad3f741,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,16.955332,16.902224,-29.23376,37.02296
2256:original,2.8302116,3.8945827,-2.8302116,0.6418706,factor_1,2256:original,2256,original,cc8d0d03-7d7e-5728-8bd6-fa03589c976d,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,0.91998196,0.95369536,2.0253398,5.7638254
10745:swapped,2.8046336,3.8690047,-2.8046336,8.641397,factor_1,10745:swapped,10745,swapped,3b317691-c56f-50df-92a6-8ad2f444dfe4,mmlu-pro-computer science,gpt,gpt-4o-2024-05-13,B>A,14.051735,14.008489,-23.587633,31.325644
1097:swapped,2.7415297,3.805901,-2.7415297,8.490249,factor_1,1097:swapped,1097,swapped,138e503c-b09d-5d19-82ff-0b5ddc3e7bf6,mmlu-pro-law,gpt,gpt-4o-2024-05-13,B>A,13.358912,13.318047,-22.297472,29.909273
5091:original,2.6791742,3.7435455,-2.6791742,8.331194,factor_1,5091:original,5091,original,c6b860be-9938-5c34-97fc-70dfc51bbfb7,mmlu-pro-other,gpt,gpt-4o-2024-05-13,B>A,12.651868,12.613446,-20.97881,28.4659
6742:swapped,2.6385486,3.70292,-2.6385486,8.41324,factor_1,6742:swapped,6742,swapped,ca91b783-54e9-5fb6-9c30-a7ebf3ee7258,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,13.23008,13.189658,-22.148811,29.55465
7079:swapped,2.6378937,3.7022648,-2.6378937,8.219738,factor_1,7079:swapped,7079,swapped,f48459b1-bc3e-56f2-a323-d4ccea830765,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,12.250469,12.213441,-20.23608,27.64061
11603:swapped,2.6306896,3.6950607,-2.6306896,8.753476,factor_1,11603:swapped,11603,swapped,b82d8f3f-f994-5775-b1b1-13420519ca81,mmlu-pro-engineering,gpt,gpt-4o-2024-05-13,B>A,15.298099,15.2506,-26.196115,33.586235
6004:swapped,2.6096516,3.6740227,-2.6096516,8.5230665,factor_1,6004:swapped,6004,swapped,b7bbea2c-8e83-50be-a385-70d16a0d507c,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,13.944004,13.901128,-23.572187,30.920233
2389:original,2.598058,3.6624293,-2.598058,8.741519,factor_1,2389:original,2389,original,4d2085b1-24e4-5bcd-959a-13d3a83e39cd,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,15.30439,15.25687,-26.241037,33.565895
4771:original,2.4924448,3.556816,-2.4924448,0.3321093,factor_1,4771:original,4771,original,2b51f48f-90d7-57f7-8888-30fd13c0d5ff,mmlu-pro-history,gpt,gpt-4o-2024-05-13,B>A,0.8676816,0.903685,1.7855935,5.3280387
10716:original,2.488732,3.5531034,-2.488732,8.346789,factor_1,10716:original,10716,original,754b1cf8-067c-513f-a0d3-c8bd401e8afb,mmlu-pro-computer science,gpt,gpt-4o-2024-05-13,B>A,13.229899,13.189479,-22.298275,29.404484
384:swapped,2.4498487,3.5142198,-2.4498487,0.522895,factor_1,384:swapped,384,swapped,6a01ee27-4246-5bb7-b1b7-bbea2dc28deb,mmlu-pro-business,gpt,gpt-4o-2024-05-13,B>A,0.8555817,0.8921494,1.7656069,5.2628326
7978:swapped,2.426603,3.4909744,-2.426603,8.254648,factor_1,7978:swapped,7978,swapped,bd6f87f2-cb60-58b3-8b27-4eceab2bfc79,mmlu-pro-math,gpt,gpt-4o-2024-05-13,B>A,12.857917,12.818781,-21.633837,28.615786
11633:swapped,2.2883563,3.3527274,-2.2883563,7.827164,factor_1,11633:swapped,11633,swapped,c89566b4-5831-5242-8ae9-45c2f0ae955c,mmlu-pro-engineering,gpt,gpt-4o-2024-05-13,B>A,11.008159,10.975489,-18.159231,24.864687
5111:original,2.1685364,3.2329078,-2.1685364,0.682403,factor_1,5111:original,5111,original,b6ade862-109b-5788-8c0c-eabe1f7e205a,mmlu-pro-other,gpt,gpt-4o-2024-05-13,B>A,0.8459919,0.8830169,1.5021946,4.963621
3036:swapped,2.1679072,3.2322783,-2.1679072,0.6822759,factor_1,3036:swapped,3036,swapped,3cbbae47-8be1-5e31-868b-3b61d51a777d,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,0.8459082,0.88293725,1.5017213,4.9628353
4902:swapped,2.1662452,3.2306166,-2.1662452,0.68184924,factor_1,4902:swapped,4902,swapped,3ca30a63-18e2-5f42-b7ec-433617b85cd6,mmlu-pro-history,gpt,gpt-4o-2024-05-13,B>A,0.8456746,0.8827148,1.5004956,4.9607377
9888:original,2.152937,3.217308,-2.152937,7.0987124,factor_1,9888:original,9888,original,6f1bd679-4ba1-51ba-b65d-c7463e2134bf,mmlu-pro-physics,gpt,gpt-4o-2024-05-13,B>A,8.316822,8.293916,-13.038767,19.473383
3335:original,2.0934227,3.157794,-2.0934227,-0.043150105,factor_1,3335:original,3335,original,2328c85f-6803-5f2c-9ccb-f429dea4428c,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,1.0553265,1.0840415,1.0330727,5.2825155
7584:original,2.09254,3.1569114,-2.09254,-0.04331497,factor_1,7584:original,7584,original,766bdf22-3677-53bf-9c46-4fb984430682,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,1.0551193,1.0838411,1.0325828,5.28124
10305:original,2.071296,3.1356673,-2.071296,6.83814,factor_1,10305:original,10305,original,e23cdc82-bbf1-5378-9404-d94c1e7ce2ef,mmlu-pro-physics,gpt,gpt-4o-2024-05-13,B>A,7.560222,7.5401907,-11.643106,17.914442
4891:original,2.0553372,3.1197085,-2.0553372,-0.06029055,factor_1,4891:original,4891,original,d9cc990f-fb19-521e-a8fa-68f3325f8730,mmlu-pro-history,gpt,gpt-4o-2024-05-13,B>A,1.0561006,1.0847902,0.99351954,5.2458973
11210:swapped,2.0529814,3.1173525,-2.0529814,-0.060745936,factor_1,11210:swapped,11210,swapped,b57ea8df-78c5-5e71-9545-973d9c2d4bb5,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,1.0555482,1.0842559,0.99221087,5.242494
9524:original,2.0528789,3.11725,-2.0528789,-0.060757723,factor_1,9524:original,9524,original,34e8d16b-9824-5373-b735-d25a3df21044,mmlu-pro-physics,gpt,gpt-4o-2024-05-13,B>A,1.0555165,1.0842253,0.9921684,5.2423315
10565:original,2.047573,3.1119442,-2.047573,0.21296935,factor_1,10565:original,10565,original,07c3dda8-0f84-5624-9b4a-19ed31d85a2b,mmlu-pro-computer science,gpt,gpt-4o-2024-05-13,B>A,0.8213953,0.8596354,1.4270588,4.7968297
7024:original,2.046423,3.110794,-2.046423,0.21280074,factor_1,7024:original,7024,original,aaf21925-4fcc-5841-b6e5-9afdf75a3b2e,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,0.8212246,0.85947335,1.4262263,4.795362
1748:swapped,2.0414953,3.1058664,-2.0414953,0.21197046,factor_1,1748:swapped,1748,swapped,2d989dfb-7cf0-549e-945c-3dd060d1fad5,mmlu-pro-law,gpt,gpt-4o-2024-05-13,B>A,0.8205448,0.85882807,1.4225634,4.7891693
2453:swapped,2.040304,3.1046753,-2.040304,0.21178074,factor_1,2453:swapped,2453,swapped,9536d58f-8a88-53be-b97e-45bb2d457c12,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,0.82037526,0.85866714,1.4216877,4.787663
10130:original,2.0066938,3.071065,-2.0066938,6.7756557,factor_1,10130:original,10130,original,c9d03d78-9962-58e3-a776-703b910cde29,mmlu-pro-physics,gpt,gpt-4o-2024-05-13,B>A,7.440802,7.4212317,-11.474549,17.61668
1978:original,2.005189,3.06956,-2.005189,6.9940257,factor_1,1978:original,1978,original,05ea6065-69da-58b9-a53b-872e8d940915,mmlu-pro-law,gpt,gpt-4o-2024-05-13,B>A,8.135888,8.113662,-12.833218,18.972338
755:original,1.9877045,3.0520759,-1.9877045,6.672178,factor_1,755:original,755,original,437c2f78-9c2a-50d0-a600-5d2d355ee14e,mmlu-pro-business,gpt,gpt-4o-2024-05-13,B>A,7.149456,7.131022,-10.924728,17.02888
11253:swapped,1.9527177,3.017089,-1.9527177,6.774232,factor_1,11253:swapped,11253,swapped,0e1ead11-84ae-5d48-b237-509be76fdcbb,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,7.4902124,7.4704514,-11.624996,17.659174
1199:swapped,1.9058454,2.9702168,-1.9058454,6.4331536,factor_1,1199:swapped,1199,swapped,8aaa1627-21b0-520f-b698-67cd5d77dbc9,mmlu-pro-law,gpt,gpt-4o-2024-05-13,B>A,6.55539,6.5393233,-9.846857,15.787291
4188:original,1.8077277,2.872099,-1.8077277,0.32301986,factor_1,4188:original,4188,original,aedbe1ff-42f3-5222-85e0-1b98c5af67bb,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,B>A,0.7598892,0.80146486,1.3012278,4.4429703
2826:original,1.79512,2.8594913,-1.79512,6.1839237,factor_1,2826:original,2826,original,a3f45559-827d-53c5-9f1b-200ea1876ac8,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,6.007847,5.9940395,-8.888826,14.607809
4529:swapped,1.7734201,2.8377914,-1.7734201,2.0719414,factor_1,4529:swapped,4529,swapped,1ca1b199-b089-5951-8a57-28a320573def,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,B>A,1.1018608,1.1291046,0.6247463,5.0508366
6222:swapped,1.7441841,2.8085554,-1.7441841,2.0511746,factor_1,6222:swapped,6222,swapped,1c76021c-cb8e-5477-8f7e-88855d6dd547,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,1.0992461,1.1265699,0.6004784,5.016632
3257:original,1.7191207,2.783492,-1.7191207,0.29553533,factor_1,3257:original,3257,original,df6e9ec0-0bd1-51ec-a81f-3a58cc415253,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,0.74880266,0.79102993,1.2330734,4.333911
10646:original,1.71591,2.780281,-1.71591,2.0408869,factor_1,10646:original,10646,original,81ec57f2-483f-515f-93ff-78a8910b2153,mmlu-pro-computer science,gpt,gpt-4o-2024-05-13,B>A,1.1000847,1.1273828,0.57061076,4.989951
3122:original,1.7089107,2.773282,-1.7089107,2.029483,factor_1,3122:original,3122,original,14d2e455-2416-5cd3-8913-8f833aeab1b2,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,1.0971917,1.1245784,0.5691085,4.9774556
1420:swapped,1.6816959,2.746067,-1.6816959,2.0103557,factor_1,1420:swapped,1420,swapped,e302b0a0-28d5-5a3c-b1af-fedcf5543e72,mmlu-pro-law,gpt,gpt-4o-2024-05-13,B>A,1.0947218,1.1221844,0.54658556,4.9455485
11147:original,1.6733618,2.737733,-1.6733618,2.0081923,factor_1,11147:original,11147,original,70bf4c34-6b15-53e6-bb19-9094bdaf6c9f,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,1.0952524,1.1226987,0.53724337,4.9382224
8762:swapped,1.6499997,2.714371,-1.6499997,1.0457355,factor_1,8762:swapped,8762,swapped,730909ae-6903-517a-ad99-9991d2cfc217,mmlu-pro-math,gpt,gpt-4o-2024-05-13,B>A,0.93724513,0.9702517,0.8126776,4.616064
5709:swapped,1.5330588,2.59743,-1.5330588,5.6212687,factor_1,5709:swapped,5709,swapped,35e4e1cd-ccdf-51ae-8fee-687a634c6c2e,mmlu-pro-other,gpt,gpt-4o-2024-05-13,B>A,4.9270687,4.9180317,-7.041912,12.236773
408:original,1.516838,2.5812092,-1.516838,5.5167384,factor_1,408:original,408,original,591677d2-ac1a-5a7c-9e21-b4918155fc9b,mmlu-pro-business,gpt,gpt-4o-2024-05-13,B>A,4.7335486,4.725426,-6.680626,11.843044
7599:original,1.4110379,2.475409,-1.4110379,5.256155,factor_1,7599:original,7599,original,12ab4b20-e60b-59ca-b20b-500b12900def,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,4.308349,4.3023252,-5.957149,10.907967
7087:swapped,1.3863422,2.4507134,-1.3863422,0.6194476,factor_1,7087:swapped,7087,swapped,2daba22f-aca4-5206-a3cb-a0ff0203d831,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,0.7750999,0.81580794,0.85172975,4.049697
5708:swapped,1.3816167,2.445988,-1.3816167,-1.2495303,factor_1,5708:swapped,5708,swapped,a13f48e6-1d51-5076-94bf-ff0303e4c198,mmlu-pro-other,gpt,gpt-4o-2024-05-13,B>A,1.2444348,1.2677642,-0.038830042,4.930806
2687:original,1.3791394,2.4435105,-1.3791394,-1.2463826,factor_1,2687:original,2687,original,ef607538-1628-5cce-bc92-093ff755586d,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,1.2432506,1.2666093,-0.039043665,4.9260645
294:swapped,1.3783993,2.4427705,-1.3783993,-1.237573,factor_1,294:swapped,294,swapped,58d81545-6e2e-5388-b1b7-05ec20157459,mmlu-pro-business,gpt,gpt-4o-2024-05-13,A>B,1.241375,1.2647803,-0.036198854,4.9217396
11257:original,1.3767209,2.441092,-1.3767209,-1.2374896,factor_1,11257:original,11257,original,bfd0002d-e137-5a79-a7fd-c2ef9ad12a1f,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,1.2409638,1.2643794,-0.037091732,4.9192758
3776:original,1.3659381,2.4303093,-1.3659381,5.1450267,factor_1,3776:original,3776,original,02c8d6ef-f58a-5bf5-8b05-0a6719e16f20,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,B>A,4.1384964,4.1333523,-5.6710615,10.53168
6643:swapped,1.3538865,2.4182577,-1.3538865,0.35408938,factor_1,6643:swapped,6643,swapped,a1b1ff8a-eae1-5c68-b5b1-4d50cb2afc17,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,0.71957004,0.76359856,0.9216045,3.9149108
4381:swapped,1.3412744,2.4056456,-1.3412744,5.0451612,factor_1,4381:swapped,4381,swapped,cd01c08e-2906-5d2a-b3d8-3d3425f397db,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,B>A,3.9866521,3.982318,-5.3996973,10.210989
3435:swapped,1.29719,2.3615613,-1.29719,0.15995237,factor_1,3435:swapped,3435,swapped,52dc37ec-fb24-59d8-9390-53185cb0c6d1,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,0.7071682,0.7519997,0.8876419,3.8354807
5130:swapped,1.2828075,2.3471787,-1.2828075,0.56500345,factor_1,5130:swapped,5130,swapped,122e221d-9581-5240-889a-1106c2d167c0,mmlu-pro-other,gpt,gpt-4o-2024-05-13,B>A,0.7594484,0.8010497,0.7771212,3.9172363
441:original,1.2822392,2.3466105,-1.2822392,0.56476384,factor_1,441:original,441,original,97e2c15b-92c8-5934-bf37-c46fbf095930,mmlu-pro-business,gpt,gpt-4o-2024-05-13,B>A,0.7593742,0.8009798,0.7766901,3.916531
7450:swapped,1.2730223,2.3373935,-1.2730223,0.15145832,factor_1,7450:swapped,7450,swapped,f805817d-968d-5b0b-a2b2-4c62c9b848d3,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,0.70553386,0.7504729,0.86646664,3.8083205
11220:swapped,1.2709252,2.3352964,-1.2709252,0.1510885,factor_1,11220:swapped,11220,swapped,2f665bcd-7aee-539b-9acf-142548185b64,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,0.7053269,0.75027966,0.86474824,3.8058445
10638:original,1.270681,2.3350523,-1.270681,0.1510642,factor_1,10638:original,10638,original,4e13a976-9009-5501-87c2-bd1b20c0b84f,mmlu-pro-computer science,gpt,gpt-4o-2024-05-13,B>A,0.7052993,0.75025386,0.86455464,3.8055499
10608:swapped,1.261456,2.3258271,-1.261456,4.877608,factor_1,10608:swapped,10608,swapped,799a7559-a3b1-5dc3-bec3-54d5e930fd24,mmlu-pro-computer science,gpt,gpt-4o-2024-05-13,B>A,3.7550945,3.7520442,-5.0281796,9.679834
8093:swapped,1.2450022,2.3093734,-1.2450022,-0.05819106,factor_1,8093:swapped,8093,swapped,40c35c1b-4d3a-56ae-a7fa-22307efca211,mmlu-pro-math,gpt,gpt-4o-2024-05-13,B>A,0.79226387,0.83202773,0.678599,3.9401479
9337:original,1.1956902,2.2600613,-1.1956902,0.29426733,factor_1,9337:original,9337,original,df1964d5-629f-5b4a-bcd5-79137e8f3bc5,mmlu-pro-physics,gpt,gpt-4o-2024-05-13,B>A,0.6990146,0.74438727,0.8010622,3.7190604
4967:swapped,1.060527,2.1248982,-1.060527,0.24353439,factor_1,4967:swapped,4967,swapped,0f999ea7-10a1-5b85-a175-b86d50338266,mmlu-pro-history,gpt,gpt-4o-2024-05-13,B>A,0.68337333,0.7298154,0.6944599,3.5553365
2201:swapped,1.0412531,2.1056242,-1.0412531,0.7880185,factor_1,2201:swapped,2201,swapped,e9963b54-87aa-5b3f-b524-66ed9f7b5489,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,0.80231017,0.84153765,0.45621037,3.755038
10994:swapped,1.0157003,2.0800714,-1.0157003,0.2273318,factor_1,10994:swapped,10994,swapped,f1b17db1-5206-504d-a8b0-3213449e41f5,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,0.6787168,0.72548544,0.6581199,3.502023
2443:swapped,0.92947954,1.9938507,-0.92947954,0.19563046,factor_1,2443:swapped,2443,swapped,5b13ebd9-3880-5331-bfcf-ac5ab4bed92a,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,0.670419,0.71777916,0.58700347,3.400698
6956:swapped,0.9273791,1.9917502,-0.9273791,0.38789114,factor_1,6956:swapped,6956,swapped,ba87d469-ec2e-5a8f-95e8-b3065f20b584,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,0.7069617,0.7518067,0.5182091,3.4652915
