item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,loading_factor_2,dominant_factor,item_id_meta,original_id,order,pair_id,source,split,response_model,gold_label,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
4773:swapped,9.4593935,9.683096,-9.4593935,0.93374026,5.5180674,factor_2,4773:swapped,4773,swapped,d1dd83a6-7ccb-5f83-983e-f6fc38783836,mmlu-pro-history,gpt,gpt-4o-2024-05-13,A>B,2.1838596,2.1908824,5.388966,13.977226
4902:swapped,9.257915,9.481617,-9.257915,-4.21099,2.1461554,factor_1,4902:swapped,4902,swapped,3ca30a63-18e2-5f42-b7ec-433617b85cd6,mmlu-pro-history,gpt,gpt-4o-2024-05-13,B>A,2.8412077,2.842839,3.9096522,15.053581
4471:swapped,8.845032,9.068734,-8.845032,-0.19829242,3.0560365,factor_2,4471:swapped,4471,swapped,ea56946d-14fb-5016-9550-1216f26856f5,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,B>A,1.3378108,1.356395,6.4102,11.727268
2453:swapped,8.827365,9.051067,-8.827365,-1.8935698,1.0331075,factor_1,2453:swapped,2453,swapped,9536d58f-8a88-53be-b97e-45bb2d457c12,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,2.2881289,2.2941728,4.5544887,13.547646
10638:original,8.452107,8.67581,-8.452107,-1.6957631,2.1937094,factor_2,10638:original,10638,original,4e13a976-9009-5501-87c2-bd1b20c0b84f,mmlu-pro-computer science,gpt,gpt-4o-2024-05-13,B>A,2.8007262,2.8026457,3.1826243,14.168995
8093:swapped,8.330011,8.553714,-8.330011,-0.246414,2.101194,factor_2,8093:swapped,8093,swapped,40c35c1b-4d3a-56ae-a7fa-22307efca211,mmlu-pro-math,gpt,gpt-4o-2024-05-13,B>A,1.7225064,1.7347777,5.153549,11.953878
5111:original,7.570911,7.794614,-7.570911,-3.4947412,1.8053284,factor_1,5111:original,5111,original,b6ade862-109b-5788-8c0c-eabe1f7e205a,mmlu-pro-other,gpt,gpt-4o-2024-05-13,B>A,2.2618494,2.2681344,3.3490705,12.240157
7978:original,7.4509006,7.6746035,-7.4509006,3.5176244,4.803786,factor_2,7978:original,7978,original,bd6f87f2-cb60-58b3-8b27-4eceab2bfc79,mmlu-pro-math,gpt,gpt-4o-2024-05-13,A>B,4.7576804,4.7487082,-1.632865,16.98207
5130:original,7.382714,7.6064167,-7.382714,2.4308906,2.5137358,factor_2,5130:original,5130,original,122e221d-9581-5240-889a-1106c2d167c0,mmlu-pro-other,gpt,gpt-4o-2024-05-13,A>B,1.6194141,1.6331456,4.4054513,10.807383
557:swapped,7.2894216,7.5131245,-7.2894216,-1.185797,5.081527,factor_2,557:swapped,557,swapped,af372926-1fbb-54bf-aff8-14c9cde2db90,mmlu-pro-business,gpt,gpt-4o-2024-05-13,B>A,2.5077436,2.5118983,2.5898037,12.436445
7024:original,7.0827913,7.306494,-7.0827913,-1.5348592,0.84168756,factor_1,7024:original,7024,original,aaf21925-4fcc-5841-b6e5-9afdf75a3b2e,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,1.7775593,1.7891034,3.7998514,10.813137
6222:swapped,7.0167913,7.2404943,-7.0167913,-6.153856,6.811389,factor_2,6222:swapped,6222,swapped,1c76021c-cb8e-5477-8f7e-88855d6dd547,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,3.6753662,3.671824,0.04371929,14.437269
6728:swapped,6.800654,7.024357,-6.800654,8.189533,0.32480657,factor_1,6728:swapped,6728,swapped,0a347026-2ec5-5879-9635-e6fc818d021b,mmlu-pro-health,gpt,gpt-4o-2024-05-13,A>B,2.1893997,2.196369,2.7194738,11.32924
2759:swapped,6.7014785,6.9251814,-6.7014785,2.188591,1.202939,factor_1,2759:swapped,2759,swapped,c67cf264-33f9-5730-aeea-a7364756a96b,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,A>B,1.3341181,1.3527769,4.273739,9.576624
5708:original,6.681207,6.90491,-6.681207,3.3393254,4.073021,factor_2,5708:original,5708,original,a13f48e6-1d51-5076-94bf-ff0303e4c198,mmlu-pro-other,gpt,gpt-4o-2024-05-13,A>B,3.8500154,3.8455245,-0.632318,14.442139
10638:swapped,6.607351,6.8310537,-6.607351,1.0699792,7.2531157,factor_2,10638:swapped,10638,swapped,4e13a976-9009-5501-87c2-bd1b20c0b84f,mmlu-pro-computer science,gpt,gpt-4o-2024-05-13,A>B,1.7594057,1.7711859,3.3595293,10.302578
4773:original,6.575875,6.7995777,-6.575875,-1.1300476,4.7329373,factor_2,4773:original,4773,original,d1dd83a6-7ccb-5f83-983e-f6fc38783836,mmlu-pro-history,gpt,gpt-4o-2024-05-13,B>A,2.2021003,2.2089474,2.4700408,11.129114
4891:original,6.4648805,6.6885834,-6.4648805,-0.10913645,0.93684196,factor_2,4891:original,4891,original,d9cc990f-fb19-521e-a8fa-68f3325f8730,mmlu-pro-history,gpt,gpt-4o-2024-05-13,B>A,1.9705712,1.9798048,2.808166,10.569
10610:swapped,6.407296,6.630999,-6.407296,-5.29049,4.031578,factor_1,10610:swapped,10610,swapped,9e079604-2288-52ba-9d89-4868ccd34200,mmlu-pro-computer science,gpt,gpt-4o-2024-05-13,B>A,1.5106202,1.526056,3.639929,9.622069
4951:swapped,6.2936096,6.5173125,-6.2936096,-2.579175,4.797078,factor_2,4951:swapped,4951,swapped,f7dc91ae-4e50-51e8-aa72-34723a3b4c85,mmlu-pro-history,gpt,gpt-4o-2024-05-13,B>A,1.4345087,1.451256,3.6728506,9.361774
2416:original,6.083012,6.306715,-6.083012,8.072367,2.1815748,factor_1,2416:original,2416,original,c20860f9-7468-546b-ae86-4ae6a6493de9,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,A>B,2.4640427,2.4685566,1.4683437,11.145086
1748:original,6.052946,6.276649,-6.052946,3.1825519,1.4190569,factor_1,1748:original,1748,original,2d989dfb-7cf0-549e-945c-3dd060d1fad5,mmlu-pro-law,gpt,gpt-4o-2024-05-13,A>B,1.5227739,1.5380099,3.2621496,9.291148
11210:swapped,6.0227447,6.2464476,-6.0227447,-0.10726547,0.87176144,factor_2,11210:swapped,11210,swapped,b57ea8df-78c5-5e71-9545-973d9c2d4bb5,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,1.8144904,1.8255651,2.66834,9.824555
7623:swapped,5.9302526,6.1539555,-5.9302526,-1.4403417,12.642467,factor_2,7623:swapped,7623,swapped,3c6f3a85-c058-543a-8226-852972410970,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,A>B,1.361746,1.3798559,3.4494379,8.858473
84:original,5.903458,6.127161,-5.903458,0.66892606,0.9588791,factor_2,84:original,84,original,a6cfbfd9-3c72-5081-9433-8f57a9851d51,mmlu-pro-business,gpt,gpt-4o-2024-05-13,A>B,1.5733085,1.5877398,3.0151908,9.239131
9829:original,5.8440394,6.0677423,-5.8440394,-2.4161038,4.5908046,factor_2,9829:original,9829,original,a6f94de7-dee6-579b-852a-1be7ca389cd2,mmlu-pro-physics,gpt,gpt-4o-2024-05-13,B>A,1.4073226,1.4245659,3.275593,8.859892
2646:swapped,5.6792464,5.9029493,-5.6792464,-1.4406089,-0.015101805,factor_1,2646:swapped,2646,swapped,faba206f-9a89-5991-9ac3-f43727d2a566,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,1.7805543,1.7920599,2.3905118,9.415387
3250:original,5.6067386,5.8304415,-5.6067386,0.98468876,-0.20241573,factor_1,3250:original,3250,original,49c0f568-1ac2-53dc-be78-f3eea93820fd,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,A>B,2.7904527,2.7924461,0.35724688,11.303637
8286:swapped,5.067538,5.2912407,-5.067538,0.84666663,5.777748,factor_2,8286:swapped,8286,swapped,57ee26c0-cc5d-5c32-b782-c7b5e5da5730,mmlu-pro-math,gpt,gpt-4o-2024-05-13,A>B,1.5503106,1.565103,2.2236385,8.358843
10340:original,5.067173,5.290876,-5.067173,0.92879534,-0.2902634,factor_1,10340:original,10340,original,d2b16371-9e1f-5869-aa69-579218b20eaa,mmlu-pro-physics,gpt,gpt-4o-2024-05-13,A>B,2.4721298,2.4765768,0.43678522,10.144966
4471:original,5.022477,5.24618,-5.022477,2.99737,3.194466,factor_2,4471:original,4471,original,ea56946d-14fb-5016-9550-1216f26856f5,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,A>B,2.784536,2.786572,-0.21550131,10.707861
4529:swapped,4.728484,4.952187,-4.728484,-4.476217,4.818025,factor_2,4529:swapped,4529,swapped,1ca1b199-b089-5951-8a57-28a320573def,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,B>A,2.3148384,2.3206406,0.40373135,9.500643
4891:swapped,4.7266693,4.950372,-4.7266693,1.298986,1.2647916,factor_1,4891:swapped,4891,swapped,d9cc990f-fb19-521e-a8fa-68f3325f8730,mmlu-pro-history,gpt,gpt-4o-2024-05-13,A>B,1.0623785,1.087663,2.8185525,7.082192
3122:original,4.4554377,4.6791406,-4.4554377,-4.614754,4.727239,factor_2,3122:original,3122,original,14d2e455-2416-5cd3-8913-8f833aeab1b2,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,2.2840745,2.2901554,0.19043589,9.167845
889:original,4.3314157,4.5551186,-4.3314157,-0.5103946,6.615073,factor_2,889:original,889,original,2545077a-25bd-5b66-a42b-e0efb838ecee,mmlu-pro-law,gpt,gpt-4o-2024-05-13,A>B,1.2373295,1.2580677,2.0893059,7.0209312
1420:swapped,3.9969285,4.220631,-3.9969285,-3.879469,4.137282,factor_2,1420:swapped,1420,swapped,e302b0a0-28d5-5a3c-b1af-fedcf5543e72,mmlu-pro-law,gpt,gpt-4o-2024-05-13,B>A,2.0013611,2.0102558,0.28052974,8.160732
7450:original,3.9930377,4.2167406,-3.9930377,2.7787192,2.6173282,factor_1,7450:original,7450,original,f805817d-968d-5b0b-a2b2-4c62c9b848d3,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,A>B,2.2889254,2.294962,-0.28138494,8.714867
687:swapped,3.9670072,4.19071,-3.9670072,-6.488988,0.8792649,factor_1,687:swapped,687,swapped,6ad28b38-685f-5146-ab23-ff8fbcc81210,mmlu-pro-business,gpt,gpt-4o-2024-05-13,B>A,6.649304,6.6323323,-8.808661,17.190083
11147:original,3.964566,4.1882687,-3.964566,-3.9401283,4.156912,factor_2,11147:original,11147,original,70bf4c34-6b15-53e6-bb19-9094bdaf6c9f,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,2.016949,2.0256748,0.21794605,8.158591
10646:original,3.8469002,4.070603,-3.8469002,-4.422138,4.28656,factor_1,10646:original,10646,original,81ec57f2-483f-515f-93ff-78a8910b2153,mmlu-pro-computer science,gpt,gpt-4o-2024-05-13,B>A,2.0859141,2.093914,-0.033468723,8.174675
3036:original,3.831695,4.055398,-3.831695,1.3912134,7.374892,factor_2,3036:original,3036,original,3cbbae47-8be1-5e31-868b-3b61d51a777d,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,A>B,3.9688106,3.9636936,-3.7134418,11.824238
3435:original,3.682422,3.9061246,-3.682422,7.3614655,0.9149705,factor_1,3435:original,3435,original,52dc37ec-fb24-59d8-9390-53185cb0c6d1,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,A>B,2.0496361,2.0580137,-0.12758207,7.9398313
7623:original,3.6126816,3.8363843,-3.6126816,-6.3346925,0.7263843,factor_1,7623:original,7623,original,3c6f3a85-c058-543a-8226-852972410970,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,5.9488697,5.9347234,-7.795674,15.468443
11281:original,3.387876,3.6115787,-3.387876,-5.3343244,0.6798606,factor_1,11281:original,11281,original,fb954577-c6d1-524a-bf7c-c64f0c005022,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,4.313879,4.307018,-4.8301764,12.053334
755:swapped,3.3401175,3.5638201,-3.3401175,-1.1891629,6.2834406,factor_2,755:swapped,755,swapped,437c2f78-9c2a-50d0-a600-5d2d355ee14e,mmlu-pro-business,gpt,gpt-4o-2024-05-13,A>B,1.1743622,1.1966046,1.2184751,5.9091654
7584:original,3.3304496,3.5541523,-3.3304496,-0.1135373,0.28090394,factor_2,7584:original,7584,original,766bdf22-3677-53bf-9c46-4fb984430682,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,1.161827,1.1843852,1.2327573,5.8755474
3511:original,3.3130605,3.5367632,-3.3130605,-6.4945917,0.59412795,factor_1,3511:original,3511,original,c7aaeea9-830b-56fc-b12c-23ca19c3bb29,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,5.728984,5.7157516,-7.66611,14.739636
3335:original,3.2750087,3.4987113,-3.2750087,-0.11197866,0.273508,factor_2,3335:original,3335,original,2328c85f-6803-5f2c-9ccb-f429dea4428c,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,1.1497738,1.172641,1.2003348,5.7970877
6072:swapped,3.1772847,3.4009874,-3.1772847,0.27751055,-2.9338133,factor_2,6072:swapped,6072,swapped,37577e35-cf0b-5880-97a1-857736d76651,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,4.7826996,4.7736125,-5.9552927,12.757268
6077:swapped,3.1173532,3.3410559,-3.1173532,0.4308734,0.33570045,factor_1,6077:swapped,6077,swapped,7ad6fda6-f7dd-5c3a-9d8b-6b50cc35dedd,mmlu-pro-health,gpt,gpt-4o-2024-05-13,A>B,1.0334738,1.059634,1.2641733,5.417938
4967:swapped,3.116024,3.3397267,-3.116024,-1.0882465,0.8578521,factor_1,4967:swapped,4967,swapped,0f999ea7-10a1-5b85-a175-b86d50338266,mmlu-pro-history,gpt,gpt-4o-2024-05-13,B>A,1.0655246,1.0907162,1.2019229,5.4775305
8286:original,3.0748591,3.2985618,-3.0748591,-0.9271929,3.023326,factor_2,8286:original,8286,original,57ee26c0-cc5d-5c32-b782-c7b5e5da5730,mmlu-pro-math,gpt,gpt-4o-2024-05-13,B>A,1.1306111,1.1539811,1.0367589,5.5603647
2934:original,2.976698,3.2004006,-2.976698,-0.8641496,1.5751786,factor_2,2934:original,2934,original,6c5f9b09-193f-5070-9dfd-2dee1f69a9a3,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,1.0140427,1.0408156,1.160402,5.2403994
6272:original,2.9765851,3.2002878,-2.9765851,-0.86334217,1.5750532,factor_2,6272:original,6272,original,5b0fa22f-cbfd-5098-95b0-a474deb84c7a,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,1.0141276,1.0408977,1.1601281,5.2404475
4426:original,2.9274468,3.1511495,-2.9274468,0.3449396,-3.5468416,factor_2,4426:original,4426,original,35eb196e-50d4-5501-8f44-cc5dc85f6291,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,B>A,4.8159513,4.806711,-6.2700043,12.572304
1198:swapped,2.876827,3.1005297,-2.876827,-0.40782928,0.33701742,factor_1,1198:swapped,1198,swapped,a4eff39a-4f2e-5cee-a6de-b8e74625269f,mmlu-pro-law,gpt,gpt-4o-2024-05-13,B>A,0.9367585,0.9661831,1.2068107,4.9942484
11395:original,2.8557932,3.079496,-2.8557932,-0.4048255,0.33437148,factor_1,11395:original,11395,original,83adf077-567f-5ce2-91e7-bf02decdaa21,mmlu-pro-engineering,gpt,gpt-4o-2024-05-13,B>A,0.93380433,0.96333784,1.1913537,4.967638
3250:swapped,2.8512666,3.0749693,-2.8512666,0.3443513,-3.5863478,factor_2,3250:swapped,3250,swapped,49c0f568-1ac2-53dc-be78-f3eea93820fd,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,4.676792,4.6681952,-6.0746937,12.224632
11002:original,2.8281622,3.0518649,-2.8281622,0.45292735,-4.7137074,factor_2,11002:original,11002,original,aecacdc0-1dfc-5339-b6c7-eea5baa1471d,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,5.8004003,5.7868695,-8.2904,14.394129
11210:original,2.7904723,3.014175,-2.7904723,0.09931591,0.40240642,factor_2,11210:original,11210,original,b57ea8df-78c5-5e71-9545-973d9c2d4bb5,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,A>B,0.8987686,0.92964035,1.1920798,4.8362703
6105:swapped,2.7358413,2.959544,-2.7358413,-6.833756,0.39800066,factor_1,6105:swapped,6105,swapped,0cdc4e4b-d2a3-5218-b01a-c60f2e407d5e,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,5.175444,5.1645894,-7.1630516,13.08214
11002:swapped,2.7041037,2.9278064,-2.7041037,3.151856,-2.8916788,factor_1,11002:swapped,11002,swapped,aecacdc0-1dfc-5339-b6c7-eea5baa1471d,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,A>B,7.663794,7.642908,-12.052294,17.907907
84:swapped,2.697223,2.9209256,-2.697223,0.09501484,0.38713297,factor_2,84:swapped,84,swapped,a6cfbfd9-3c72-5081-9433-8f57a9851d51,mmlu-pro-business,gpt,gpt-4o-2024-05-13,B>A,0.8847643,0.91619664,1.1251801,4.716671
4188:original,2.5155215,2.7392242,-2.5155215,-0.3403985,0.530304,factor_2,4188:original,4188,original,aedbe1ff-42f3-5222-85e0-1b98c5af67bb,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,B>A,0.8890104,0.92027116,0.93549263,4.542956
4789:original,2.4939482,2.717651,-2.4939482,-0.09868577,0.89519405,factor_2,4789:original,4789,original,14ead85f-e4c6-5ae2-a586-6388d9b9b4f1,mmlu-pro-history,gpt,gpt-4o-2024-05-13,A>B,0.8299559,0.8637392,1.0247221,4.4105797
2687:swapped,2.4778748,2.7015774,-2.4778748,0.35322666,0.43165275,factor_2,2687:swapped,2687,swapped,ef607538-1628-5cce-bc92-093ff755586d,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,A>B,0.8845491,0.9159902,0.90623665,4.496918
4902:original,2.4517288,2.6754315,-2.4517288,0.3038118,1.1177546,factor_2,4902:original,4902,original,3ca30a63-18e2-5f42-b7ec-433617b85cd6,mmlu-pro-history,gpt,gpt-4o-2024-05-13,A>B,0.9556059,0.9843498,0.7461059,4.6047573
5033:original,2.4148161,2.6385188,-2.4148161,0.4139988,1.7723837,factor_2,5033:original,5033,original,5e29323a-13d7-5bb1-814b-1b38db3dfc50,mmlu-pro-history,gpt,gpt-4o-2024-05-13,A>B,1.0381516,1.0641673,0.5527508,4.724287
5056:original,2.394861,2.6185637,-2.394861,0.4129341,1.7606602,factor_2,5056:original,5056,original,6ed13f8d-9733-5839-a628-22c6ec6c9f27,mmlu-pro-history,gpt,gpt-4o-2024-05-13,A>B,1.0361141,1.0621926,0.53666615,4.7004614
7087:original,2.3345356,2.5582383,-2.3345356,0.25079426,0.682037,factor_2,7087:original,7087,original,2daba22f-aca4-5206-a3cb-a0ff0203d831,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,A>B,0.8666909,0.8988699,0.79645324,4.3200235
931:original,2.3214662,2.5451689,-2.3214662,-0.5327735,0.70962334,factor_2,931:original,931,original,a32ef549-a356-5507-8743-1e07d4e61423,mmlu-pro-law,gpt,gpt-4o-2024-05-13,A>B,0.9105784,0.9409891,0.7008302,4.3895073
9886:swapped,2.132371,2.3560736,-2.132371,0.15287843,1.4707036,factor_2,9886:swapped,9886,swapped,70ed90f8-052e-5088-a47b-70b409d2b518,mmlu-pro-physics,gpt,gpt-4o-2024-05-13,A>B,0.9315029,0.9611216,0.47227526,4.239872
931:swapped,2.043159,2.2668617,-2.043159,-0.20601708,1.0489362,factor_2,931:swapped,931,swapped,a32ef549-a356-5507-8743-1e07d4e61423,mmlu-pro-law,gpt,gpt-4o-2024-05-13,B>A,0.83331996,0.8669513,0.5676371,3.9660864
3899:swapped,1.8625764,2.0862792,-1.8625764,-0.2812749,1.4546819,factor_2,3899:swapped,3899,swapped,57500a89-7795-5299-b6a8-d0ab8da2687a,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,B>A,0.8751327,0.9069596,0.30863833,3.86392
5033:swapped,1.861871,2.0855737,-1.861871,-0.2811956,1.4540713,factor_2,5033:swapped,5033,swapped,5e29323a-13d7-5bb1-814b-1b38db3dfc50,mmlu-pro-history,gpt,gpt-4o-2024-05-13,B>A,0.8750298,0.90686095,0.3081262,3.8630211
8312:swapped,1.8525963,2.076299,-1.8525963,-0.09207493,0.35576704,factor_2,8312:swapped,8312,swapped,405f3561-1bb7-56f5-88a2-c28cec94c5d4,mmlu-pro-math,gpt,gpt-4o-2024-05-13,B>A,0.77214414,0.8087191,0.4912095,3.6613884
4951:original,1.7200102,1.9437128,-1.7200102,1.4471208,5.9475694,factor_2,4951:original,4951,original,f7dc91ae-4e50-51e8-aa72-34723a3b4c85,mmlu-pro-history,gpt,gpt-4o-2024-05-13,A>B,1.9823136,1.9914172,-1.9594649,5.8468904
2416:swapped,1.7176951,1.9413978,-1.7176951,-4.751353,-2.0615823,factor_1,2416:swapped,2416,swapped,c20860f9-7468-546b-ae86-4ae6a6493de9,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,5.5475235,5.5350585,-8.907317,12.7901125
1198:original,1.6540085,1.8777112,-1.6540085,0.83058465,0.34481245,factor_1,1198:original,1198,original,a4eff39a-4f2e-5cee-a6de-b8e74625269f,mmlu-pro-law,gpt,gpt-4o-2024-05-13,A>B,0.8663627,0.89855546,0.11654246,3.6388798
11028:original,1.6421543,1.865857,-1.6421543,-2.0781655,8.746269,factor_2,11028:original,11028,original,2aa40f83-9d2a-5a22-8c37-817397efb2e7,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,3.0483403,3.048562,-4.1093245,7.8410387
2759:original,1.4207655,1.6444682,-1.4207655,0.59567505,-6.1373854,factor_2,2759:original,2759,original,c67cf264-33f9-5730-aeea-a7364756a96b,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,3.8590078,3.854469,-5.910291,9.199227
384:swapped,1.4161986,1.6399013,-1.4161986,-0.35680145,0.12570797,factor_1,384:swapped,384,swapped,6a01ee27-4246-5bb7-b1b7-bbea2dc28deb,mmlu-pro-business,gpt,gpt-4o-2024-05-13,B>A,0.7641626,0.8011518,0.069643736,3.2101588
441:original,1.3717196,1.5954223,-1.3717196,-1.1136242,0.4215845,factor_1,441:original,441,original,97e2c15b-92c8-5934-bf37-c46fbf095930,mmlu-pro-business,gpt,gpt-4o-2024-05-13,B>A,0.96632606,0.9946929,-0.35417593,3.5450206
5130:swapped,1.3693185,1.5930212,-1.3693185,-1.1132487,0.42074612,factor_1,5130:swapped,5130,swapped,122e221d-9581-5240-889a-1106c2d167c0,mmlu-pro-other,gpt,gpt-4o-2024-05-13,B>A,0.96614563,0.9945188,-0.35623574,3.542278
10994:original,1.2207745,1.4444772,-1.2207745,0.6052806,0.45624986,factor_1,10994:original,10994,original,f1b17db1-5206-504d-a8b0-3213449e41f5,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,A>B,0.8561061,0.88873506,-0.2974435,3.186398
10994:swapped,1.2035981,1.4273008,-1.2035981,-0.22938865,0.297014,factor_2,10994:swapped,10994,swapped,f1b17db1-5206-504d-a8b0-3213449e41f5,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,0.7306087,0.7694248,-0.080771804,2.9353733
5145:swapped,1.1986983,1.422401,-1.1986983,-4.957196,1.6371803,factor_1,5145:swapped,5145,swapped,b1614f17-39fb-564a-84c7-bcd7a2054dc8,mmlu-pro-other,gpt,gpt-4o-2024-05-13,B>A,1.2271044,1.2480781,-1.0238321,3.868634
6728:original,1.1797525,1.4034551,-1.1797525,-3.9628365,-1.9360433,factor_1,6728:original,6728,original,0a347026-2ec5-5879-9635-e6fc818d021b,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,4.0319443,4.0265,-6.4884853,9.295396
12212:swapped,1.1526941,1.3763968,-1.1526941,-4.6263356,-2.447651,factor_1,12212:swapped,12212,swapped,c7bb7c2b-6fb2-5254-a773-9046ca946006,mmlu-pro-engineering,gpt,gpt-4o-2024-05-13,B>A,5.3229475,5.3114476,-9.03404,11.786835
3776:swapped,1.1090268,1.3327295,-1.1090268,0.2063035,2.5457985,factor_2,3776:swapped,3776,swapped,02c8d6ef-f58a-5bf5-8b05-0a6719e16f20,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,A>B,1.108843,1.132802,-0.88756263,3.5530214
