item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,dominant_factor,item_id_meta,pair_id,source,split,gold_letter,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
3899,5.4412255,4.8564367,-5.4412255,-0.12798195,factor_1,3899,57500a89-7795-5299-b6a8-d0ab8da2687a,mmlu-pro-chemistry,gpt,E,6.9777164,6.9386015,-8.743222,18.456097
11603,5.358617,4.773828,-5.358617,14.197202,factor_1,11603,b82d8f3f-f994-5775-b1b1-13420519ca81,mmlu-pro-engineering,gpt,G,1.4547026,1.4753509,1.8821404,7.665516
8857,5.186234,4.601445,-5.186234,9.442025,factor_1,8857,26d7ab00-c73b-5b3e-8bc3-4a8f941fceb7,mmlu-pro-math,gpt,I,2.2094321,2.214989,0.260067,8.942823
6728,4.7743115,4.1895227,-4.7743115,0.060347203,factor_1,6728,0a347026-2ec5-5879-9635-e6fc818d021b,mmlu-pro-health,gpt,D,3.5504513,3.5397708,-2.7484283,11.127474
8762,4.7378592,4.1530704,-4.7378592,0.0524205,factor_1,8762,730909ae-6903-517a-ad99-9991d2cfc217,mmlu-pro-math,gpt,B,5.0017576,4.9780173,-5.6038437,13.909985
4529,4.653066,4.0682774,-4.653066,0.06493913,factor_1,4529,1ca1b199-b089-5951-8a57-28a320573def,mmlu-pro-chemistry,gpt,I,4.054486,4.038978,-3.8481197,11.984674
10608,4.366145,3.7813566,-4.366145,7.985655,factor_1,10608,799a7559-a3b1-5dc3-bec3-54d5e930fd24,mmlu-pro-computer science,gpt,D,1.9692243,1.9787536,-0.0970006,7.6597137
8286,4.0582724,3.4734838,-4.0582724,0.5918808,factor_1,8286,57ee26c0-cc5d-5c32-b782-c7b5e5da5730,mmlu-pro-math,gpt,F,5.027961,5.004004,-6.334364,13.281332
10321,2.9405596,2.355771,-2.9405596,3.8723342,factor_1,10321,9fbc9238-47af-5656-ac85-cf5b0c00fd8f,mmlu-pro-physics,gpt,H,16.367062,16.26314,-29.519985,34.231525
4681,2.4165635,1.831775,-2.4165635,6.324793,factor_1,4681,a22906b1-02f2-59da-ba1f-7a75487ba740,mmlu-pro-history,gpt,I,1.236684,1.2639257,-0.6455195,4.3090696
7568,2.148464,1.5636754,-2.148464,0.09310254,factor_1,7568,a5c0fd0a-7440-5461-9a32-c6c5ff574ae0,mmlu-pro-economics,gpt,D,1.06224,1.0962131,-0.5849023,3.712253
11147,2.1448023,1.5600138,-2.1448023,0.06690471,factor_1,11147,70bf4c34-6b15-53e6-bb19-9094bdaf6c9f,mmlu-pro-philosophy,gpt,C,1.0593301,1.0934302,-0.5831094,3.703137
2453,2.1433623,1.5585737,-2.1433623,0.06691023,factor_1,2453,9536d58f-8a88-53be-b97e-45bb2d457c12,mmlu-pro-psychology,gpt,B,1.0587318,1.0928581,-0.58342814,3.7005756
4019,2.1395693,1.5547807,-2.1395693,12.878952,factor_1,4019,129dfd5d-5786-57e3-8548-df0d26a42659,mmlu-pro-chemistry,gpt,G,2.0004275,2.0094085,-2.38366,5.4932213
5091,2.0997045,1.514916,-2.0997045,11.979547,factor_1,5091,c6b860be-9938-5c34-97fc-70dfc51bbfb7,mmlu-pro-other,gpt,A,2.060836,2.0687852,-2.5399032,5.569735
2416,2.0563571,1.4715686,-2.0563571,2.0831695,factor_1,2416,c20860f9-7468-546b-ae86-4ae6a6493de9,mmlu-pro-psychology,gpt,J,1.163993,1.1938455,-0.8683686,3.8115058
7584,2.0441027,1.4593141,-2.0441027,0.028514476,factor_1,7584,766bdf22-3677-53bf-9c46-4fb984430682,mmlu-pro-economics,gpt,J,1.0622168,1.0961908,-0.68921995,3.6078482
294,2.0366395,1.4518509,-2.0366395,11.207201,factor_1,294,58d81545-6e2e-5388-b1b7-05ec20157459,mmlu-pro-business,gpt,B,1.9738617,1.9833089,-2.4354346,5.339136
2389,1.9209546,1.3361659,-1.9209546,1.6550753,factor_1,2389,4d2085b1-24e4-5bcd-959a-13d3a83e39cd,mmlu-pro-psychology,gpt,B,1.1407737,1.1715147,-0.96000314,3.632335
1420,1.9202293,1.3354406,-1.9202293,1.655259,factor_1,1420,e302b0a0-28d5-5a3c-b1af-fedcf5543e72,mmlu-pro-law,gpt,H,1.1405355,1.1712859,-0.9602797,3.631161
2687,1.9118572,1.3270686,-1.9118572,1.6270866,factor_1,2687,ef607538-1628-5cce-bc92-093ff755586d,mmlu-pro-psychology,gpt,D,1.1387008,1.1695226,-0.9651959,3.619333
5111,1.9015155,1.3167269,-1.9015155,0.02497213,factor_1,5111,b6ade862-109b-5788-8c0c-eabe1f7e205a,mmlu-pro-other,gpt,B,1.0712643,1.1048467,-0.84877276,3.4822266
765,1.8284554,1.2436669,-1.8284554,0.07145985,factor_1,765,8b33bb85-b242-5845-83f0-5cb7e32be529,mmlu-pro-business,gpt,F,1.0828093,1.1158997,-0.94349647,3.4308302
5087,1.7224284,1.1376398,-1.7224284,2.07065,factor_1,5087,585e5a43-454b-56f7-aba3-fb4e22938020,mmlu-pro-other,gpt,J,1.2255099,1.2531371,-1.3185091,3.5937886
4426,1.6747985,1.0900099,-1.6747985,0.6168041,factor_1,4426,35eb196e-50d4-5501-8f44-cc5dc85f6291,mmlu-pro-chemistry,gpt,B,0.9890743,1.026424,-0.9217813,3.1018012
8312,1.6459705,1.0611818,-1.6459705,0.085521944,factor_1,8312,405f3561-1bb7-56f5-88a2-c28cec94c5d4,mmlu-pro-math,gpt,B,1.0899606,1.1227504,-1.1394091,3.2617726
9888,1.4010112,0.8162226,-1.4010112,0.021540102,factor_1,9888,6f1bd679-4ba1-51ba-b65d-c7463e2134bf,mmlu-pro-physics,gpt,E,1.1184565,1.1500791,-1.4379325,3.0703778
9337,1.3298222,0.74503356,-1.3298222,3.825643,factor_1,9337,df1964d5-629f-5b4a-bcd5-79137e8f3bc5,mmlu-pro-physics,gpt,H,23.987293,23.832869,-45.96739,47.457455
5284,1.3249986,0.74021,-1.3249986,0.12029396,factor_1,5284,ebe368cb-5783-5f03-8471-e31295bc4438,mmlu-pro-other,gpt,C,0.8054612,0.8534198,-0.9324928,2.4129128
11210,1.2784711,0.6936825,-1.2784711,8.579875,factor_1,11210,b57ea8df-78c5-5e71-9545-973d9c2d4bb5,mmlu-pro-philosophy,gpt,F,1.5436542,1.5620196,-2.367876,3.755241
5304,1.1831099,0.59832126,-1.1831099,0.5511077,factor_1,5304,907c3d20-a0dc-5b21-b4ba-1e784d7cfaf6,mmlu-pro-other,gpt,C,1.0204612,1.0563145,-1.4720552,2.6686976
7450,1.1419901,0.55720145,-1.1419901,7.994216,factor_1,7450,f805817d-968d-5b0b-a2b2-4c62c9b848d3,mmlu-pro-economics,gpt,H,1.4974048,1.5169325,-2.4159863,3.530389
11185,1.0962647,0.5114761,-1.0962647,-0.009422231,factor_1,11185,dcfbadd5-4b7c-5ffd-b66d-5cb0a380605d,mmlu-pro-philosophy,gpt,J,0.8165308,0.8637401,-1.1814544,2.2044067
687,1.0559539,0.47116524,-1.0559539,2.423862,factor_1,687,6ad28b38-685f-5146-ab23-ff8fbcc81210,mmlu-pro-business,gpt,C,0.9959223,1.0329391,-1.5533955,2.4957259
11257,1.0521991,0.4674105,-1.0521991,2.4155967,factor_1,11257,bfd0002d-e137-5a79-a7fd-c2ef9ad12a1f,mmlu-pro-philosophy,gpt,B,0.9951186,1.0321742,-1.555651,2.490472
6272,1.0506268,0.46583813,-1.0506268,2.4122894,factor_1,6272,5b0fa22f-cbfd-5098-95b0-a474deb84c7a,mmlu-pro-health,gpt,H,0.9947915,1.031863,-1.5566132,2.4882896
7403,1.010261,0.42547244,-1.010261,2.2507079,factor_1,7403,07019bab-fc3e-5c91-ac9c-36869cfe79b0,mmlu-pro-economics,gpt,B,0.9808661,1.0186199,-1.5710225,2.4219675
9829,1.0100065,0.42521793,-1.0100065,2.2500267,factor_1,9829,a6f94de7-dee6-579b-852a-1be7ca389cd2,mmlu-pro-physics,gpt,H,0.9807991,1.0185562,-1.5711524,2.4215882
481,0.9074978,0.3227092,-0.9074978,-0.09249932,factor_1,481,83ec31fe-5063-5c77-9b1e-0c32f113a042,mmlu-pro-business,gpt,F,0.7419425,0.7945519,-1.2346126,1.880031
1199,0.87899846,0.29420984,-0.87899846,0.5792152,factor_1,1199,8aaa1627-21b0-520f-b698-67cd5d77dbc9,mmlu-pro-law,gpt,J,0.8096748,0.8573462,-1.3861887,1.9746084
1622,0.8780787,0.29329008,-0.8780787,0.55964565,factor_1,1622,8de34479-e94c-5c30-9146-da3d92f7223c,mmlu-pro-law,gpt,E,0.8060372,0.85395634,-1.3804643,1.9670446
408,0.87033534,0.28554672,-0.87033534,0.9357156,factor_1,408,591677d2-ac1a-5a7c-9e21-b4918155fc9b,mmlu-pro-business,gpt,E,0.8563211,0.9009693,-1.4803531,2.0514467
2759,0.857297,0.27250838,-0.857297,0.41527024,factor_1,2759,c67cf264-33f9-5730-aeea-a7364756a96b,mmlu-pro-psychology,gpt,D,0.774305,0.82446647,-1.3434459,1.8884627
4382,0.84168607,0.25689745,-0.84168607,0.3592339,factor_1,4382,ed01d44a-e1bc-5833-9a59-ea5f5a9ebd60,mmlu-pro-chemistry,gpt,D,0.76043093,0.8116209,-1.3338795,1.8476744
10305,0.8167994,0.23201078,-0.8167994,6.8678217,factor_1,10305,e23cdc82-bbf1-5378-9404-d94c1e7ce2ef,mmlu-pro-physics,gpt,B,8.138011,8.090434,-15.62524,16.089262
3122,0.78139526,0.19660664,-0.78139526,0.052436754,factor_1,3122,14d2e455-2416-5cd3-8913-8f833aeab1b2,mmlu-pro-biology,gpt,H,0.69600546,0.7524065,-1.2781101,1.6713234
6072,0.7673605,0.18257189,-0.7673605,0.07641322,factor_1,6072,37577e35-cf0b-5880-97a1-857736d76651,mmlu-pro-health,gpt,H,0.7005531,0.7565607,-1.3002871,1.6654309
11138,0.7612653,0.17647666,-0.7612653,0.11142006,factor_1,11138,b958ea91-8f2a-55be-8c8b-d61cf90f5076,mmlu-pro-philosophy,gpt,D,0.70732635,0.76275563,-1.3185244,1.6714778
4789,0.7343594,0.14957076,-0.7343594,-0.4604723,factor_1,4789,14ead85f-e4c6-5ae2-a586-6388d9b9b4f1,mmlu-pro-history,gpt,B,0.73974377,0.7925258,-1.40378,1.7029214
4188,0.6175696,0.032781005,-0.6175696,0.9678521,factor_1,4188,aedbe1ff-42f3-5222-85e0-1b98c5af67bb,mmlu-pro-chemistry,gpt,F,0.8959024,0.93818986,-1.8060712,1.8716332
11395,0.6082085,0.023419857,-0.6082085,0.35054976,factor_1,11395,83adf077-567f-5ce2-91e7-bf02decdaa21,mmlu-pro-engineering,gpt,B,0.7855744,0.8349225,-1.6130283,1.659868
1198,0.5666497,-0.018138945,-0.5666497,-0.09330961,factor_1,1198,a4eff39a-4f2e-5cee-a6de-b8e74625269f,mmlu-pro-law,gpt,B,0.67201436,0.7305624,-1.4500413,1.4137633
10038,0.5522436,-0.03254503,-0.5522436,-0.08321248,factor_1,10038,c0fceb61-37b0-5049-84c3-9add01413cc8,mmlu-pro-physics,gpt,B,0.6674056,0.72638047,-1.4562507,1.3911607
11281,0.54668206,-0.03810656,-0.54668206,-0.07970548,factor_1,11281,fb954577-c6d1-524a-bf7c-c64f0c005022,mmlu-pro-philosophy,gpt,A,0.6658169,0.72494,-1.458989,1.3827759
11002,0.54638034,-0.03840828,-0.54638034,-0.079699844,factor_1,11002,aecacdc0-1dfc-5339-b6c7-eea5baa1471d,mmlu-pro-philosophy,gpt,A,0.6657941,0.72491926,-1.4592501,1.3824335
10638,0.5388073,-0.045981348,-0.5388073,-0.074547954,factor_1,10638,4e13a976-9009-5501-87c2-bd1b20c0b84f,mmlu-pro-computer science,gpt,A,0.6635652,0.7228994,-1.4628642,1.3709013
3776,0.53813297,-0.046655655,-0.53813297,7.156607,factor_1,3776,02c8d6ef-f58a-5bf5-8b05-0a6719e16f20,mmlu-pro-chemistry,gpt,G,9.560999,9.503342,-18.673206,18.579895
1803,0.5328952,-0.051893413,-0.5328952,-0.070240065,factor_1,1803,01fb6121-e025-5251-a55f-f903c79e4ec6,mmlu-pro-law,gpt,J,0.6617971,0.7212978,-1.4656372,1.3618503
10565,0.52880263,-0.055985987,-0.52880263,5.9160657,factor_1,10565,07c3dda8-0f84-5624-9b4a-19ed31d85a2b,mmlu-pro-computer science,gpt,A,6.0120473,5.9802413,-11.77726,11.665287
4238,0.51168406,-0.07310456,-0.51168406,-0.058381937,factor_1,4238,d50b6560-bbb7-5118-b329-8ed50c155365,mmlu-pro-chemistry,gpt,G,0.6569935,0.7169504,-1.4783275,1.3321183
9886,0.45766413,-0.12712449,-0.45766413,-0.06956242,factor_1,9886,70ed90f8-052e-5088-a47b-70b409d2b518,mmlu-pro-physics,gpt,J,0.7894556,0.838528,-1.7706394,1.5163903
6004,0.44471028,-0.14007834,-0.44471028,0.18749218,factor_1,6004,b7bbea2c-8e83-50be-a385-70d16a0d507c,mmlu-pro-health,gpt,F,0.73046505,0.78398514,-1.6766891,1.3965325
2826,0.43688184,-0.14790678,-0.43688184,-0.056542024,factor_1,2826,a3f45559-827d-53c5-9f1b-200ea1876ac8,mmlu-pro-biology,gpt,J,0.78103864,0.8307118,-1.776102,1.4802884
12212,0.34480032,-0.2399883,-0.34480032,0.12803942,factor_1,12212,c7bb7c2b-6fb2-5254-a773-9046ca946006,mmlu-pro-engineering,gpt,J,0.90025735,0.94229555,-2.0868876,1.606911
4471,0.3439309,-0.24085772,-0.3439309,-0.12714078,factor_1,4471,ea56946d-14fb-5016-9550-1216f26856f5,mmlu-pro-chemistry,gpt,D,0.9259115,0.9665202,-2.1352372,1.6535219
11985,0.33757898,-0.24720964,-0.33757898,6.990871,factor_1,11985,c1891f8b-2cce-52b7-868c-6c072e79701e,mmlu-pro-engineering,gpt,A,9.344328,9.28819,-18.452063,17.957644
5130,0.30515,-0.27963862,-0.30515,0.40464845,factor_1,5130,122e221d-9581-5240-889a-1106c2d167c0,mmlu-pro-other,gpt,A,0.71842307,0.7729242,-1.7945701,1.2352928
5033,0.3043599,-0.2804287,-0.3043599,0.42178178,factor_1,5033,5e29323a-13d7-5bb1-814b-1b38db3dfc50,mmlu-pro-history,gpt,B,0.7210083,0.77529657,-1.80001,1.2391527
11421,0.2680266,-0.31676203,-0.2680266,6.913369,factor_1,11421,bd2ab0d9-9fed-5c10-94a7-efa1750148f4,mmlu-pro-engineering,gpt,C,9.109864,9.055375,-18.065298,17.431772
10568,0.19766334,-0.38712528,-0.19766334,3.4916081,factor_1,10568,352e1a45-3dcb-5fb0-9c38-a6b7f674a084,mmlu-pro-computer science,gpt,D,1.1304687,1.1616135,-2.6638877,1.8896372
5709,0.19501445,-0.38977417,-0.19501445,3.4613216,factor_1,5709,35e4e1cd-ccdf-51ae-8fee-687a634c6c2e,mmlu-pro-other,gpt,E,1.1266327,1.1579291,-2.659315,1.8797668
6956,0.13481507,-0.44997355,-0.13481507,3.0251298,factor_1,6956,ba87d469-ec2e-5a8f-95e8-b3065f20b584,mmlu-pro-economics,gpt,H,1.0711576,1.1047446,-2.615273,1.7153258
7024,0.13469629,-0.45009232,-0.13469629,3.0236146,factor_1,7024,aaf21925-4fcc-5841-b6e5-9afdf75a3b2e,mmlu-pro-economics,gpt,J,1.0709491,1.104545,-2.6150005,1.7148159
2646,0.11633765,-0.46845096,-0.11633765,1.5167289,factor_1,2646,faba206f-9a89-5991-9ac3-f43727d2a566,mmlu-pro-psychology,gpt,I,0.852222,0.897125,-2.226816,1.2899141
3714,0.08602278,-0.49876583,-0.08602278,-0.05359961,factor_1,3714,7437394e-a300-5428-b321-e3ce7dd9b694,mmlu-pro-chemistry,gpt,G,0.6410682,0.70257694,-1.8758167,0.87828505
6105,0.08521871,-0.4995699,-0.08521871,2.0150363,factor_1,6105,0cdc4e4b-d2a3-5218-b01a-c60f2e407d5e,mmlu-pro-health,gpt,J,0.92421275,0.964914,-2.3908014,1.3916616
3335,0.08461256,-0.5001761,-0.08461256,2.0151222,factor_1,3335,2328c85f-6803-5f2c-9ccb-f429dea4428c,mmlu-pro-biology,gpt,D,0.9242244,0.96492505,-2.3914292,1.391077
10479,0.08412233,-0.50066626,-0.08412233,2.0195713,factor_1,10479,10c0a6e7-a697-5d79-ac6b-47ed30c4cba5,mmlu-pro-computer science,gpt,D,0.9248875,0.965552,-2.3931482,1.3918157
557,0.08005117,-0.50473744,-0.08005117,0.6315043,factor_1,557,af372926-1fbb-54bf-aff8-14c9cde2db90,mmlu-pro-business,gpt,B,0.94254446,0.98226047,-2.4299679,1.4204931
931,0.0796652,-0.50512344,-0.0796652,-0.049049273,factor_1,931,a32ef549-a356-5507-8743-1e07d4e61423,mmlu-pro-law,gpt,B,0.6397948,0.7014303,-1.8799269,0.86968
3257,0.07475291,-0.5100357,-0.07475291,-0.04487206,factor_1,3257,df6e9ec0-0bd1-51ec-a81f-3a58cc415253,mmlu-pro-biology,gpt,J,0.63869166,0.7004373,-1.8828928,0.8628214
8351,0.069112904,-0.5156757,-0.069112904,-0.042740874,factor_1,8351,af8bbf3a-253a-5a14-8ec9-27d0f093d61d,mmlu-pro-math,gpt,J,0.6381497,0.6999495,-1.8875768,0.8562253
1748,0.008008865,-0.5767798,-0.008008865,0.5016171,factor_1,1748,2d989dfb-7cf0-549e-945c-3dd060d1fad5,mmlu-pro-law,gpt,D,0.7699615,0.82044166,-2.1848454,1.031286
10340,-0.059338808,-0.6441274,0.059338808,1.08223,factor_1,10340,d2b16371-9e1f-5869-aa69-579218b20eaa,mmlu-pro-physics,gpt,D,1.030917,1.0662882,-2.7340524,1.4457977
5958,-0.10704173,-0.69183034,0.10704173,0.79870546,factor_1,5958,336452fa-776b-5de9-98c8-2a6685d840fa,mmlu-pro-other,gpt,J,0.80500466,0.85299444,-2.3636994,0.9800388
84,-0.17141868,-0.7562073,0.17141868,0.20048034,factor_1,84,a6cfbfd9-3c72-5081-9433-8f57a9851d51,mmlu-pro-business,gpt,F,0.680509,0.7382827,-2.2032413,0.69082683
2201,-0.17152092,-0.7563095,0.17152092,0.20048249,factor_1,2201,e9963b54-87aa-5b3f-b524-66ed9f7b5489,mmlu-pro-psychology,gpt,F,0.68051195,0.7382854,-2.203349,0.69073
10646,-0.2813433,-0.8661319,0.2813433,1.2013156,factor_1,10646,81ec57f2-483f-515f-93ff-78a8910b2153,mmlu-pro-computer science,gpt,F,0.85726315,0.90185314,-2.6337643,0.90150034
2714,-0.31391263,-0.89870125,0.31391263,-0.070932515,factor_1,2714,7c22d528-b258-5125-9bcc-877df3431ae1,mmlu-pro-psychology,gpt,B,0.6570905,0.7170381,-2.304096,0.5066934
4381,-0.32096007,-0.9057487,0.32096007,0.050774742,factor_1,4381,cd01c08e-2906-5d2a-b3d8-3d3425f397db,mmlu-pro-chemistry,gpt,B,0.6805682,0.7383366,-2.3528886,0.54139113
11028,-0.32168895,-0.9064776,0.32168895,0.7847209,factor_1,11028,2aa40f83-9d2a-5a22-8c37-817397efb2e7,mmlu-pro-philosophy,gpt,G,0.7454091,0.7977479,-2.4700634,0.6571083
12194,-0.32171366,-0.90650225,0.32171366,-0.061795212,factor_1,12194,82f31019-2814-5ac8-a269-2c247e9a0833,mmlu-pro-engineering,gpt,D,0.65484285,0.7150057,-2.3079133,0.49490893
11712,-0.32221282,-0.90700144,0.32221282,-0.677136,factor_1,11712,3239d81d-8220-5b81-99e0-1b7a470df3be,mmlu-pro-engineering,gpt,E,0.894571,0.9369351,-2.7433944,0.92939144
8093,-0.3309548,-0.9157434,0.3309548,0.81049746,factor_1,8093,40c35c1b-4d3a-56ae-a7fa-22307efca211,mmlu-pro-math,gpt,B,0.74812853,0.8002566,-2.4842465,0.6527596
889,-0.43741927,-1.0222079,0.43741927,1.0881729,factor_1,889,2545077a-25bd-5b66-a42b-e0efb838ecee,mmlu-pro-law,gpt,C,0.7807796,0.8304714,-2.649932,0.6055161
11633,-0.46349466,-1.0482833,0.46349466,0.18183425,factor_1,11633,c89566b4-5831-5242-8ae9-45c2f0ae955c,mmlu-pro-engineering,gpt,C,0.7328782,0.7862049,-2.5892448,0.49267828
1978,-0.47970873,-1.0644974,0.47970873,0.22697979,factor_1,1978,05ea6065-69da-58b9-a53b-872e8d940915,mmlu-pro-law,gpt,D,0.7430077,0.7955338,-2.6237435,0.49474883
10716,-0.52796745,-1.112756,0.52796745,1.3302151,factor_1,10716,754b1cf8-067c-513f-a0d3-c8bd401e8afb,mmlu-pro-computer science,gpt,F,0.8145892,0.8619287,-2.8021364,0.5766243
2443,-0.528524,-1.1133126,0.528524,1.330463,factor_1,2443,5b13ebd9-3880-5331-bfcf-ac5ab4bed92a,mmlu-pro-psychology,gpt,H,0.81462973,0.8619665,-2.8027668,0.5761417
10574,-0.5401334,-1.124922,0.5401334,1.3608432,factor_1,10574,32798f7c-2198-5f6e-8406-a21d71f26eb2,mmlu-pro-computer science,gpt,D,0.81921905,0.8662489,-2.8227699,0.5729258
12029,-0.6353447,-1.2201333,0.6353447,0.16701312,factor_1,12029,3be26fc0-ead5-5d0f-8c87-2feb0524e902,mmlu-pro-engineering,gpt,B,0.70164734,0.7575609,-2.7049527,0.2646861
4971,-0.6566337,-1.2414223,0.6566337,0.21677433,factor_1,4971,ff5f3ce7-1423-5df5-922d-644070dfaea0,mmlu-pro-history,gpt,E,0.7136451,0.76854295,-2.7477665,0.2649219
5708,-0.70252556,-1.2873142,0.70252556,0.3735181,factor_1,5708,a13f48e6-1d51-5076-94bf-ff0303e4c198,mmlu-pro-other,gpt,E,0.7323167,0.7856883,-2.8272634,0.25263488
8315,-0.7367129,-1.3215015,0.7367129,0.43405673,factor_1,8315,000ad3d2-6b2a-5bee-baf2-fdf780b4e068,mmlu-pro-math,gpt,D,1.3744688,1.3973593,-4.0603256,1.4173226
441,-0.77293843,-1.357727,0.77293843,-0.06494991,factor_1,441,97e2c15b-92c8-5934-bf37-c46fbf095930,mmlu-pro-business,gpt,A,0.6983424,0.7545407,-2.8366268,0.12117267
10130,-0.78912115,-1.3739097,0.78912115,0.4161991,factor_1,10130,c9d03d78-9962-58e3-a776-703b910cde29,mmlu-pro-physics,gpt,B,0.9155068,0.95668733,-3.2490168,0.50119746
3435,-0.7970754,-1.3818641,0.7970754,-0.03555199,factor_1,3435,52dc37ec-fb24-59d8-9390-53185cb0c6d1,mmlu-pro-biology,gpt,C,0.693161,0.7498102,-2.8514922,0.087764025
298,-0.7996657,-1.3844543,0.7996657,0.60794926,factor_1,298,0f1fed13-d89e-5956-a5f9-11befbdb47fb,mmlu-pro-business,gpt,A,0.75220793,0.8040221,-2.9603376,0.19142902
3306,-0.8366975,-1.4214861,0.8366975,0.1600299,factor_1,3306,ad732066-b195-5f46-a39f-6f1184aa594b,mmlu-pro-biology,gpt,E,0.8152516,0.86254656,-3.1120775,0.2691052
3511,-1.1987839,-1.7835724,1.1987839,0.19318752,factor_1,3511,c7aaeea9-830b-56fc-b12c-23ca19c3bb29,mmlu-pro-biology,gpt,C,0.78620887,0.8355117,-3.4211755,-0.14596951
4902,-1.2097632,-1.7945518,1.2097632,0.20572767,factor_1,4902,3ca30a63-18e2-5f42-b7ec-433617b85cd6,mmlu-pro-history,gpt,D,0.79149115,0.8404198,-3.4417748,-0.14732897
8163,-1.2294723,-1.814261,1.2294723,5.62489,factor_1,8163,6de9c1f2-0d31-5d07-a796-7dd245667f4f,mmlu-pro-math,gpt,H,2.6858344,2.6847727,-7.0764155,3.4478936
4951,-1.2384319,-1.8232205,1.2384319,0.25051448,factor_1,4951,f7dc91ae-4e50-51e8-aa72-34723a3b4c85,mmlu-pro-history,gpt,F,0.80469376,0.85270494,-3.494522,-0.15191877
10994,-1.2609817,-1.8457704,1.2609817,0.29703972,factor_1,10994,f1b17db1-5206-504d-a8b0-3213449e41f5,mmlu-pro-philosophy,gpt,E,0.8125981,0.8600716,-3.5315108,-0.16003
11253,-1.2730713,-1.8578598,1.2730713,1.8507593,factor_1,11253,0e1ead11-84ae-5d48-b237-509be76fdcbb,mmlu-pro-philosophy,gpt,D,1.0349202,1.0701089,-3.9552734,0.23955369
6626,-1.2788497,-1.8636384,1.2788497,0.3371978,factor_1,6626,9eea6f37-5da7-5b9e-81f7-6f27eccf11da,mmlu-pro-health,gpt,I,0.8170454,0.8642202,-3.55751,-0.16976678
7079,-1.2882564,-1.873045,1.2882564,0.35834077,factor_1,7079,f48459b1-bc3e-56f2-a323-d4ccea830765,mmlu-pro-economics,gpt,F,0.8189259,0.8659752,-3.5703564,-0.17573357
755,-1.2928697,-1.8776584,1.2928697,0.36757112,factor_1,755,437c2f78-9c2a-50d0-a600-5d2d355ee14e,mmlu-pro-business,gpt,F,0.81977737,0.86677,-3.5765276,-0.17878902
